OrderLineID,OrderID,ProductID,Quantity,UnitPrice,UnitCostAtSale,DiscountAmount,CreatedAt,ModifiedAt
37,O0000019,P0201,2,56551.76,48678.66,0.00,2025-05-15 14:06:54,2025-05-15 14:44:54
38,O0000019,P0215,1,14215.73,12508.55,0.00,2025-05-15 14:06:54,2025-05-15 15:19:54
39,O0000020,P0288,1,2290.87,1732.38,458.17,2024-10-14 13:48:21,2024-10-14 14:30:21
40,O0000020,P0193,2,28342.89,22203.26,0.00,2024-10-14 13:48:21,2024-10-14 14:54:21
41,O0000020,P0146,2,9585.67,8234.93,0.00,2024-10-14 13:48:21,2024-10-14 15:31:21
42,O0000020,P0306,1,4922.86,3513.96,0.00,2024-10-14 13:48:21,2024-10-14 14:00:21
43,O0000021,P0118,1,5225.21,4021.63,0.00,2024-06-14 17:38:59,2024-06-14 19:52:59
44,O0000021,P0171,1,5170.56,3847.43,517.06,2024-06-14 17:38:59,2024-06-14 18:20:59
45,O0000022,P0248,2,3017.04,2113.86,603.41,2026-01-29 18:06:57,2026-01-29 20:26:57
46,O0000022,P0197,1,12693.86,10720.20,1269.39,2026-01-29 18:06:57,2026-01-29 18:49:57
47,O0000023,P0157,1,11812.81,9860.80,1771.92,2024-02-18 17:41:25,2024-02-18 17:58:25
48,O0000023,P0146,1,8995.67,7548.15,0.00,2024-02-18 17:41:25,2024-02-18 19:40:25
49,O0000024,P0004,1,13654.11,10430.45,2048.12,2025-05-06 20:37:44,2025-05-06 21:51:44
50,O0000024,P0308,1,1028.54,784.80,0.00,2025-05-06 20:37:44,2025-05-06 21:29:44
51,O0000024,P0170,1,17164.02,12486.25,1716.40,2025-05-06 20:37:44,2025-05-06 23:03:44
52,O0000025,P0210,2,7091.12,5298.53,0.00,2024-03-18 11:27:02,2024-03-18 11:48:02
53,O0000026,P0057,2,13602.05,11451.71,2720.41,2024-08-03 19:57:14,2024-08-03 21:46:14
54,O0000026,P0226,1,36282.86,29246.47,0.00,2024-08-03 19:57:14,2024-08-03 20:56:14
55,O0000027,P0099,1,8851.53,6337.64,0.00,2025-04-24 12:54:22,2025-04-24 14:28:22
56,O0000027,P0149,1,56359.10,49049.13,0.00,2025-04-24 12:54:22,2025-04-24 13:07:22
57,O0000027,P0076,1,5638.95,4818.55,0.00,2025-04-24 12:54:22,2025-04-24 13:23:22
58,O0000028,P0303,2,14596.09,11243.63,2919.22,2026-02-14 21:18:23,2026-02-14 23:43:23
59,O0000028,P0015,1,49391.01,38326.60,9878.20,2026-02-14 21:18:23,2026-02-14 21:37:23
60,O0000028,P0084,2,31628.56,23720.14,3162.86,2026-02-14 21:18:23,2026-02-14 21:43:23
61,O0000029,P0289,1,25190.69,19512.66,0.00,2024-07-06 17:35:58,2024-07-06 19:33:58
62,O0000029,P0202,1,12281.02,9082.46,2456.20,2024-07-06 17:35:58,2024-07-06 19:24:58
63,O0000029,P0126,1,24608.06,18605.22,0.00,2024-07-06 17:35:58,2024-07-06 17:43:58
64,O0000029,P0193,1,28453.56,21672.12,1422.68,2024-07-06 17:35:58,2024-07-06 18:59:58
65,O0000030,P0068,1,3444.31,3007.46,0.00,2026-04-27 15:41:31,2026-04-27 15:46:31
66,O0000030,P0218,2,9110.41,7365.33,3644.16,2026-04-27 15:41:31,2026-04-27 15:42:31
67,O0000030,P0099,3,9965.82,7079.14,4484.62,2026-04-27 15:41:31,2026-04-27 17:38:31
68,O0000031,P0197,3,11266.24,9470.14,0.00,2025-02-23 19:31:15,2025-02-23 20:52:15
69,O0000031,P0183,3,13700.15,10206.33,0.00,2025-02-23 19:31:15,2025-02-23 19:58:15
70,O0000032,P0064,1,2928.10,2288.56,0.00,2024-12-23 20:10:01,2024-12-23 20:18:01
71,O0000032,P0233,2,4036.65,3465.83,403.67,2024-12-23 20:10:01,2024-12-23 21:16:01
72,O0000033,P0128,2,2363.94,1635.13,236.39,2024-07-12 16:06:29,2024-07-12 16:25:29
73,O0000033,P0262,1,16696.38,11762.57,0.00,2024-07-12 16:06:29,2024-07-12 18:56:29
74,O0000034,P0160,2,2459.87,2074.72,0.00,2024-12-06 15:52:30,2024-12-06 16:16:30
75,O0000035,P0095,1,24195.34,18285.45,1209.77,2025-05-31 18:19:51,2025-05-31 20:08:51
76,O0000035,P0044,2,235.48,165.81,0.00,2025-05-31 18:19:51,2025-05-31 19:14:51
77,O0000035,P0195,2,5951.80,4903.63,595.18,2025-05-31 18:19:51,2025-05-31 19:24:51
78,O0000036,P0167,3,12841.58,9505.88,1926.24,2025-01-29 13:55:15,2025-01-29 15:05:15
79,O0000036,P0200,3,814.46,584.35,0.00,2025-01-29 13:55:15,2025-01-29 16:34:15
80,O0000036,P0244,2,3688.65,2769.12,0.00,2025-01-29 13:55:15,2025-01-29 16:12:15
81,O0000037,P0066,1,6673.32,5611.85,333.67,2025-04-01 18:47:39,2025-04-01 21:19:39
82,O0000038,P0240,2,5216.08,4153.24,0.00,2026-03-09 20:13:35,2026-03-09 21:11:35
83,O0000038,P0066,1,7101.95,6430.11,0.00,2026-03-09 20:13:35,2026-03-09 22:54:35
84,O0000038,P0035,1,13746.18,11022.94,0.00,2026-03-09 20:13:35,2026-03-09 22:04:35
85,O0000038,P0005,1,40563.41,36198.46,0.00,2026-03-09 20:13:35,2026-03-09 22:31:35
86,O0000039,P0205,1,52428.87,43781.91,0.00,2025-03-08 13:39:27,2025-03-08 15:46:27
87,O0000040,P0028,1,13075.45,9990.17,0.00,2026-02-28 14:35:57,2026-02-28 15:13:57
88,O0000041,P0302,1,32201.19,29587.52,0.00,2024-04-17 18:07:51,2024-04-17 18:46:51
89,O0000042,P0036,1,25671.70,18390.26,0.00,2026-07-15 19:10:45,2026-07-15 21:35:45
90,O0000043,P0039,1,77183.55,56857.28,7718.36,2026-01-15 19:01:39,2026-01-15 20:37:39
91,O0000044,P0007,1,1433.40,1016.42,71.67,2024-01-10 20:17:04,2024-01-10 22:31:04
92,O0000044,P0126,1,21941.06,17387.78,2194.11,2024-01-10 20:17:04,2024-01-10 21:54:04
93,O0000045,P0158,2,4601.14,3426.28,920.23,2024-04-08 20:55:43,2024-04-08 22:50:43
94,O0000045,P0109,2,52370.51,44169.36,0.00,2024-04-08 20:55:43,2024-04-08 23:46:43
95,O0000046,P0096,1,1734.87,1358.42,0.00,2024-09-11 11:02:28,2024-09-11 13:27:28
96,O0000047,P0300,1,23351.38,17730.96,1167.57,2024-08-06 14:17:57,2024-08-06 14:22:57
97,O0000047,P0088,3,1517.72,1213.31,0.00,2024-08-06 14:17:57,2024-08-06 17:02:57
98,O0000048,P0129,1,12144.65,10823.08,0.00,2024-01-09 20:46:07,2024-01-09 23:00:07
99,O0000049,P0185,1,3091.25,2730.64,0.00,2024-03-15 14:49:25,2024-03-15 15:47:25
100,O0000049,P0153,1,29672.56,21618.66,0.00,2024-03-15 14:49:25,2024-03-15 15:57:25
101,O0000050,P0187,2,779.87,596.87,0.00,2026-04-26 21:56:08,2026-04-27 00:25:08
102,O0000050,P0202,1,16122.50,11397.16,806.12,2026-04-26 21:56:08,2026-04-26 23:14:08
103,O0000051,P0149,2,55780.21,42902.13,0.00,2024-08-26 15:26:23,2024-08-26 16:38:23
104,O0000051,P0242,1,11703.07,8985.63,585.15,2024-08-26 15:26:23,2024-08-26 18:20:23
105,O0000052,P0281,1,3268.23,2632.07,0.00,2024-09-17 21:26:30,2024-09-17 23:56:30
106,O0000052,P0168,2,3090.86,2278.87,0.00,2024-09-17 21:26:30,2024-09-17 22:55:30
107,O0000053,P0162,1,12295.27,10661.19,0.00,2025-06-26 20:24:25,2025-06-26 21:20:25
108,O0000053,P0258,2,9721.96,7259.06,2916.59,2025-06-26 20:24:25,2025-06-26 22:00:25
109,O0000054,P0042,1,6453.93,4743.35,0.00,2026-05-20 15:23:43,2026-05-20 17:01:43
110,O0000055,P0291,1,4356.84,3684.98,435.68,2024-12-11 20:40:34,2024-12-11 21:41:34
111,O0000056,P0058,1,12145.28,8987.42,0.00,2024-07-21 17:20:19,2024-07-21 19:55:19
112,O0000057,P0105,1,48138.12,39414.66,0.00,2025-09-26 21:47:53,2025-09-27 00:12:53
113,O0000058,P0128,4,2368.08,1775.35,473.62,2025-02-04 15:41:05,2025-02-04 15:43:05
114,O0000059,P0126,2,26550.73,20865.76,0.00,2025-05-09 12:20:05,2025-05-09 15:06:05
115,O0000060,P0168,1,3724.97,2854.42,372.50,2026-06-15 15:12:51,2026-06-15 15:19:51
116,O0000061,P0174,1,24946.33,21065.07,2494.63,2024-05-14 21:11:58,2024-05-14 23:50:58
117,O0000062,P0260,1,3942.25,2765.25,0.00,2025-12-04 20:03:40,2025-12-04 22:00:40
118,O0000062,P0294,2,19272.27,15434.79,0.00,2025-12-04 20:03:40,2025-12-04 22:16:40
119,O0000063,P0108,3,10898.62,8565.23,6539.17,2025-05-07 16:35:56,2025-05-07 16:53:56
120,O0000063,P0114,1,5881.16,4622.63,0.00,2025-05-07 16:35:56,2025-05-07 17:36:56
121,O0000064,P0295,2,20765.89,15218.21,0.00,2026-05-09 12:06:03,2026-05-09 12:34:03
122,O0000064,P0300,2,29313.53,22138.37,0.00,2026-05-09 12:06:03,2026-05-09 13:24:03
123,O0000065,P0182,1,15780.04,11370.59,1578.00,2026-03-12 21:53:45,2026-03-12 23:46:45
124,O0000065,P0177,3,76414.30,60539.90,11462.15,2026-03-12 21:53:45,2026-03-12 23:13:45
125,O0000066,P0021,1,1632.80,1367.02,0.00,2025-08-14 14:39:36,2025-08-14 16:55:36
126,O0000066,P0312,2,824.98,613.10,247.49,2025-08-14 14:39:36,2025-08-14 16:59:36
127,O0000067,P0098,1,27062.51,20453.96,0.00,2025-10-26 10:49:15,2025-10-26 11:06:15
128,O0000067,P0315,1,2071.90,1624.46,310.79,2025-10-26 10:49:15,2025-10-26 12:59:15
129,O0000067,P0173,3,7451.39,6352.94,2235.42,2025-10-26 10:49:15,2025-10-26 12:55:15
130,O0000068,P0293,2,27412.35,18768.44,0.00,2025-04-11 12:43:47,2025-04-11 13:15:47
131,O0000068,P0193,3,31042.62,24461.75,4656.39,2025-04-11 12:43:47,2025-04-11 14:40:47
132,O0000069,P0153,4,38161.49,28472.00,0.00,2026-07-25 19:03:31,2026-07-25 21:26:31
133,O0000070,P0114,2,5268.08,4321.65,1053.62,2024-08-28 17:49:50,2024-08-28 19:23:50
134,O0000071,P0099,1,7252.73,5304.12,0.00,2024-01-04 15:15:06,2024-01-04 17:46:06
135,O0000071,P0118,3,4984.93,3839.90,1495.48,2024-01-04 15:15:06,2024-01-04 17:32:06
136,O0000071,P0001,1,51509.99,38942.25,0.00,2024-01-04 15:15:06,2024-01-04 17:34:06
137,O0000071,P0186,1,9188.42,6518.51,0.00,2024-01-04 15:15:06,2024-01-04 17:09:06
138,O0000072,P0154,1,21311.38,14859.34,0.00,2025-12-25 15:42:59,2025-12-25 17:04:59
139,O0000073,P0036,3,19033.03,13601.68,0.00,2024-02-18 13:55:57,2024-02-18 15:44:57
140,O0000073,P0302,2,33442.03,27377.34,0.00,2024-02-18 13:55:57,2024-02-18 16:45:57
141,O0000073,P0004,2,11240.24,8875.49,0.00,2024-02-18 13:55:57,2024-02-18 15:01:57
142,O0000074,P0118,1,6271.07,4756.60,313.55,2025-12-31 19:57:08,2025-12-31 21:55:08
143,O0000074,P0206,4,28623.87,24472.68,0.00,2025-12-31 19:57:08,2025-12-31 22:38:08
144,O0000074,P0045,1,3445.38,2689.96,0.00,2025-12-31 19:57:08,2025-12-31 20:41:08
145,O0000075,P0019,2,4136.15,3475.06,0.00,2026-05-27 14:33:21,2026-05-27 16:48:21
146,O0000075,P0291,2,4982.98,4293.24,0.00,2026-05-27 14:33:21,2026-05-27 15:23:21
147,O0000076,P0312,1,751.73,553.08,0.00,2024-09-28 20:56:12,2024-09-28 23:31:12
148,O0000077,P0151,1,3772.71,3094.03,0.00,2024-07-20 13:24:11,2024-07-20 14:16:11
149,O0000077,P0015,1,41519.99,31905.87,4152.00,2024-07-20 13:24:11,2024-07-20 15:17:11
150,O0000078,P0021,1,1412.14,1165.65,0.00,2024-07-04 18:50:58,2024-07-04 21:24:58
151,O0000078,P0316,2,8068.99,6986.00,1613.80,2024-07-04 18:50:58,2024-07-04 20:12:58
152,O0000079,P0292,4,9802.67,7950.16,0.00,2024-10-02 12:28:50,2024-10-02 13:28:50
153,O0000080,P0076,3,5012.29,4373.94,0.00,2024-10-13 15:27:11,2024-10-13 17:46:11
154,O0000080,P0115,2,3430.15,2572.58,0.00,2024-10-13 15:27:11,2024-10-13 17:35:11
155,O0000081,P0171,3,6036.97,4709.89,0.00,2025-08-09 21:12:23,2025-08-09 21:25:23
156,O0000082,P0162,1,14147.16,12015.09,0.00,2026-06-13 19:46:26,2026-06-13 22:18:26
157,O0000083,P0176,1,1423.26,1030.40,0.00,2025-11-05 21:03:04,2025-11-05 21:19:04
158,O0000084,P0055,1,15643.73,12192.22,0.00,2026-03-30 11:28:22,2026-03-30 12:09:22
159,O0000085,P0038,1,9295.78,7745.57,0.00,2026-01-09 20:47:05,2026-01-09 22:12:05
160,O0000086,P0108,1,11115.85,8428.24,0.00,2025-04-26 16:31:45,2025-04-26 17:54:45
161,O0000086,P0038,1,8659.58,6993.70,865.96,2025-04-26 16:31:45,2025-04-26 16:57:45
162,O0000086,P0061,4,59523.04,43035.95,23809.22,2025-04-26 16:31:45,2025-04-26 16:50:45
163,O0000087,P0265,3,53381.14,42741.32,0.00,2024-01-29 16:49:23,2024-01-29 17:46:23
164,O0000087,P0131,1,14616.86,11448.30,0.00,2024-01-29 16:49:23,2024-01-29 19:17:23
165,O0000087,P0034,1,25190.10,18394.16,2519.01,2024-01-29 16:49:23,2024-01-29 18:38:23
166,O0000087,P0289,1,23668.98,18382.14,0.00,2024-01-29 16:49:23,2024-01-29 19:11:23
167,O0000088,P0181,3,33302.06,25149.09,19981.24,2025-06-20 12:17:49,2025-06-20 14:22:49
168,O0000088,P0037,1,40601.63,32325.00,8120.33,2025-06-20 12:17:49,2025-06-20 15:14:49
169,O0000088,P0204,1,30220.95,25607.74,1511.05,2025-06-20 12:17:49,2025-06-20 12:33:49
170,O0000089,P0285,2,1784.12,1487.36,0.00,2024-06-03 21:28:46,2024-06-03 21:48:46
171,O0000089,P0316,2,8212.56,6981.76,0.00,2024-06-03 21:28:46,2024-06-03 21:38:46
172,O0000089,P0233,1,3808.07,3216.19,0.00,2024-06-03 21:28:46,2024-06-03 23:46:46
173,O0000090,P0138,1,1093.53,809.32,0.00,2024-06-28 18:54:12,2024-06-28 19:21:12
174,O0000091,P0103,1,3386.85,2553.90,0.00,2025-08-25 20:15:26,2025-08-25 23:09:26
175,O0000092,P0028,1,11180.86,8722.59,0.00,2024-12-11 17:31:35,2024-12-11 20:05:35
176,O0000092,P0154,1,18342.02,13784.41,3668.40,2024-12-11 17:31:35,2024-12-11 20:21:35
177,O0000092,P0193,2,29829.87,22432.42,2982.99,2024-12-11 17:31:35,2024-12-11 17:59:35
178,O0000092,P0179,2,34770.70,25829.13,0.00,2024-12-11 17:31:35,2024-12-11 19:40:35
179,O0000093,P0150,2,30630.48,26334.82,3063.05,2025-02-22 15:27:23,2025-02-22 17:59:23
180,O0000093,P0096,1,1907.01,1407.61,0.00,2025-02-22 15:27:23,2025-02-22 17:37:23
181,O0000094,P0270,1,26669.14,21008.55,0.00,2024-03-13 16:46:13,2024-03-13 19:05:13
182,O0000094,P0092,1,1496.44,1136.90,0.00,2024-03-13 16:46:13,2024-03-13 19:35:13
183,O0000094,P0099,1,7789.66,5662.68,0.00,2024-03-13 16:46:13,2024-03-13 17:21:13
184,O0000095,P0036,2,22114.12,16576.08,0.00,2025-08-02 17:05:45,2025-08-02 19:26:45
185,O0000095,P0093,3,5794.47,4624.45,0.00,2025-08-02 17:05:45,2025-08-02 18:41:45
186,O0000095,P0048,1,3976.51,3122.80,0.00,2025-08-02 17:05:45,2025-08-02 17:06:45
187,O0000096,P0142,1,13784.93,10352.06,0.00,2025-06-26 17:32:57,2025-06-26 18:55:57
188,O0000096,P0159,2,54665.86,44951.04,5466.59,2025-06-26 17:32:57,2025-06-26 20:03:57
189,O0000097,P0319,1,10551.96,8176.81,0.00,2024-11-06 18:57:25,2024-11-06 21:07:25
190,O0000098,P0138,2,1341.73,1032.69,0.00,2026-02-10 11:41:28,2026-02-10 14:18:28
191,O0000098,P0008,2,836.43,665.29,0.00,2026-02-10 11:41:28,2026-02-10 14:03:28
192,O0000099,P0078,1,22230.15,17751.19,2223.02,2024-09-02 17:13:26,2024-09-02 17:16:26
193,O0000099,P0162,2,11391.95,9696.39,0.00,2024-09-02 17:13:26,2024-09-02 19:01:26
194,O0000099,P0228,1,15717.12,12762.16,785.86,2024-09-02 17:13:26,2024-09-02 19:49:26
195,O0000100,P0067,2,3319.92,2914.75,331.99,2025-03-24 21:49:18,2025-03-24 23:25:18
196,O0000100,P0225,3,46096.10,36111.89,0.00,2025-03-24 21:49:18,2025-03-24 22:52:18
197,O0000101,P0096,2,1823.28,1441.57,0.00,2024-12-30 11:54:06,2024-12-30 13:08:06
198,O0000101,P0130,2,37284.42,28502.96,3728.44,2024-12-30 11:54:06,2024-12-30 13:49:06
199,O0000101,P0305,2,3030.04,2639.92,0.00,2024-12-30 11:54:06,2024-12-30 12:03:06
200,O0000102,P0270,1,27552.74,22680.35,0.00,2024-09-04 12:53:32,2024-09-04 14:50:32
201,O0000103,P0183,3,13107.53,9436.81,0.00,2024-09-17 18:33:31,2024-09-17 19:48:31
202,O0000104,P0041,1,2509.14,1977.63,0.00,2025-08-12 19:43:26,2025-08-12 20:22:26
203,O0000105,P0275,2,35992.23,33111.33,0.00,2024-01-18 12:35:33,2024-01-18 13:17:33
204,O0000105,P0239,3,19840.93,14477.94,8928.42,2024-01-18 12:35:33,2024-01-18 13:08:33
205,O0000105,P0112,3,6187.33,4586.92,928.10,2024-01-18 12:35:33,2024-01-18 12:43:33
206,O0000105,P0300,1,22426.01,16163.65,0.00,2024-01-18 12:35:33,2024-01-18 15:26:33
207,O0000106,P0184,1,6959.51,5147.75,0.00,2024-12-31 16:56:42,2024-12-31 17:26:42
208,O0000107,P0056,1,1697.57,1140.03,0.00,2025-02-20 21:20:14,2025-02-20 22:32:14
209,O0000107,P0301,1,61419.70,53009.87,0.00,2025-02-20 21:20:14,2025-02-20 22:32:14
210,O0000107,P0104,2,1787.90,1478.87,0.00,2025-02-20 21:20:14,2025-02-20 22:49:14
211,O0000108,P0133,1,50855.07,35794.92,0.00,2025-06-09 20:57:37,2025-06-09 22:33:37
212,O0000109,P0275,1,38708.77,34863.02,0.00,2024-06-06 16:22:37,2024-06-06 17:11:37
213,O0000109,P0206,1,23539.78,20074.90,1176.99,2024-06-06 16:22:37,2024-06-06 17:53:37
214,O0000110,P0243,2,7320.99,5430.41,0.00,2024-02-23 17:10:12,2024-02-23 19:51:12
215,O0000110,P0304,1,5564.49,4199.45,0.00,2024-02-23 17:10:12,2024-02-23 19:39:12
216,O0000110,P0009,1,53396.83,38862.03,0.00,2024-02-23 17:10:12,2024-02-23 18:56:12
217,O0000110,P0089,1,2089.68,1728.17,208.97,2024-02-23 17:10:12,2024-02-23 18:02:12
218,O0000111,P0023,1,13026.14,9276.33,1953.92,2024-02-25 15:35:37,2024-02-25 17:14:37
219,O0000112,P0245,1,15713.83,11225.76,785.69,2026-05-13 13:17:43,2026-05-13 13:55:43
220,O0000112,P0232,1,5722.59,4678.76,0.00,2026-05-13 13:17:43,2026-05-13 13:34:43
221,O0000113,P0135,1,10766.92,8705.23,1615.04,2025-08-29 19:32:12,2025-08-29 21:10:12
222,O0000113,P0137,1,6068.80,4356.12,606.88,2025-08-29 19:32:12,2025-08-29 19:39:12
223,O0000113,P0206,1,27485.28,24133.05,0.00,2025-08-29 19:32:12,2025-08-29 22:18:12
224,O0000114,P0185,2,3820.37,3323.51,764.07,2025-09-15 12:14:59,2025-09-15 13:24:59
225,O0000115,P0184,1,6554.28,4777.76,0.00,2024-08-19 18:19:04,2024-08-19 20:15:04
226,O0000115,P0246,2,8964.38,7024.08,0.00,2024-08-19 18:19:04,2024-08-19 19:53:04
227,O0000116,P0046,1,14373.48,11969.76,0.00,2024-05-26 15:52:03,2024-05-26 16:04:03
228,O0000117,P0239,1,25700.18,18710.85,3855.03,2026-05-12 21:36:09,2026-05-12 23:33:09
229,O0000118,P0030,1,17135.83,15008.96,0.00,2025-07-20 20:37:04,2025-07-20 21:18:04
230,O0000119,P0173,1,8225.67,6567.31,411.28,2026-04-18 16:07:17,2026-04-18 17:23:17
231,O0000119,P0289,3,30556.06,25067.19,13750.23,2026-04-18 16:07:17,2026-04-18 16:30:17
232,O0000119,P0034,1,33376.60,24795.69,0.00,2026-04-18 16:07:17,2026-04-18 17:57:17
233,O0000120,P0296,1,1507.18,1285.14,0.00,2024-07-11 16:40:30,2024-07-11 19:21:30
234,O0000120,P0001,1,55355.00,42339.14,0.00,2024-07-11 16:40:30,2024-07-11 18:11:30
235,O0000121,P0007,3,1767.98,1286.18,795.59,2025-11-10 18:36:09,2025-11-10 19:25:09
236,O0000122,P0310,1,10306.83,8899.68,515.34,2025-11-02 20:06:09,2025-11-02 22:32:09
237,O0000122,P0169,1,56217.27,44114.77,0.00,2025-11-02 20:06:09,2025-11-02 22:49:09
238,O0000122,P0306,1,5626.54,3977.35,0.00,2025-11-02 20:06:09,2025-11-02 21:25:09
239,O0000123,P0239,1,26110.09,19260.33,0.00,2026-06-16 20:21:12,2026-06-16 20:38:12
240,O0000124,P0086,2,19185.91,15522.26,7674.36,2026-03-04 13:43:33,2026-03-04 16:10:33
241,O0000124,P0103,1,3533.31,2742.91,0.00,2026-03-04 13:43:33,2026-03-04 14:32:33
242,O0000124,P0262,1,20099.75,14520.44,0.00,2026-03-04 13:43:33,2026-03-04 15:26:33
243,O0000125,P0140,1,3076.18,2470.89,0.00,2024-04-08 15:10:10,2024-04-08 17:35:10
244,O0000126,P0289,3,28578.81,23179.20,0.00,2025-08-16 12:40:41,2025-08-16 13:52:41
245,O0000126,P0318,1,35094.37,30750.24,1754.72,2025-08-16 12:40:41,2025-08-16 13:13:41
246,O0000127,P0185,3,3481.09,3035.98,522.16,2024-11-03 15:32:54,2024-11-03 16:38:54
247,O0000128,P0227,1,18763.86,15844.87,0.00,2026-03-31 21:16:32,2026-03-31 22:31:32
248,O0000128,P0023,2,17215.06,12310.17,0.00,2026-03-31 21:16:32,2026-03-31 22:43:32
249,O0000128,P0080,2,1497.01,1308.08,0.00,2026-03-31 21:16:32,2026-03-31 22:33:32
250,O0000128,P0046,1,18866.11,15798.97,0.00,2026-03-31 21:16:32,2026-03-31 21:31:32
251,O0000129,P0285,2,2288.95,1692.98,0.00,2025-10-26 18:50:41,2025-10-26 19:12:41
252,O0000130,P0060,3,17207.44,13847.51,0.00,2025-09-30 12:33:48,2025-09-30 13:34:48
253,O0000130,P0067,1,3521.52,3117.12,352.15,2025-09-30 12:33:48,2025-09-30 15:23:48
254,O0000130,P0023,2,15391.87,11371.47,0.00,2025-09-30 12:33:48,2025-09-30 14:06:48
255,O0000130,P0086,1,19375.92,15523.92,0.00,2025-09-30 12:33:48,2025-09-30 13:57:48
256,O0000131,P0178,2,43859.95,32973.47,0.00,2026-01-19 19:23:48,2026-01-19 21:32:48
257,O0000131,P0315,1,2144.55,1652.47,0.00,2026-01-19 19:23:48,2026-01-19 22:17:48
258,O0000131,P0239,1,25295.15,18943.16,0.00,2026-01-19 19:23:48,2026-01-19 21:53:48
259,O0000131,P0205,1,58366.65,47504.45,0.00,2026-01-19 19:23:48,2026-01-19 21:00:48
260,O0000132,P0177,1,73738.60,57659.30,3686.93,2025-11-26 16:14:51,2025-11-26 17:04:51
261,O0000133,P0125,2,37616.38,29164.49,0.00,2025-03-31 13:26:09,2025-03-31 16:21:09
