OrderID,CustomerID,StoreID,OrderDateTime,OrderStatus,PaymentMethodCode,OrderTotalAmount,CreatedAt,ModifiedAt
O0000059,C009861,S012,2025-05-09 12:20:05,Completed,CARD,53101.46,2025-05-09 12:20:05,2025-05-09 14:00:05
O0000060,C010704,S010,2026-06-15 15:12:51,Completed,CASH,3352.47,2026-06-15 15:12:51,2026-06-15 15:44:51
O0000061,C010768,S007,2024-05-14 21:11:58,Completed,CARD,22451.70,2024-05-14 21:11:58,2024-05-14 21:57:58
O0000062,C002646,S008,2025-12-04 20:03:40,Completed,CARD,42486.79,2025-12-04 20:03:40,2025-12-04 23:09:40
O0000063,C017725,S012,2025-05-07 16:35:56,Completed,CARD,32037.85,2025-05-07 16:35:56,2025-05-07 19:21:56
O0000064,C003195,S011,2026-05-09 12:06:03,Completed,CASH,100158.84,2026-05-09 12:06:03,2026-05-09 12:32:03
O0000065,C000872,S011,2026-03-12 21:53:45,Returned,CASH,231982.79,2026-03-12 21:53:45,2026-03-12 22:06:45
O0000066,C009181,S006,2025-08-14 14:39:36,Completed,INSTALLMENT,3035.27,2025-08-14 14:39:36,2025-08-14 14:56:36
O0000067,C009010,S004,2025-10-26 10:49:15,Completed,WALLET,48942.37,2025-10-26 10:49:15,2025-10-26 12:25:15
O0000068,C002761,S008,2025-04-11 12:43:47,Completed,CARD,143296.17,2025-04-11 12:43:47,2025-04-11 15:36:47
O0000069,C008668,S004,2026-07-25 19:03:31,Completed,CASH,152645.96,2026-07-25 19:03:31,2026-07-25 20:33:31
O0000070,C001850,S007,2024-08-28 17:49:50,Completed,CARD,9482.54,2024-08-28 17:49:50,2024-08-28 18:54:50
O0000071,C001649,S002,2024-01-04 15:15:06,Completed,CASH,81410.45,2024-01-04 15:15:06,2024-01-04 15:29:06
O0000072,C001622,S004,2025-12-25 15:42:59,Completed,CARD,21311.38,2025-12-25 15:42:59,2025-12-25 17:09:59
O0000073,C015500,S004,2024-02-18 13:55:57,Completed,CARD,146463.63,2024-02-18 13:55:57,2024-02-18 17:16:57
O0000074,C013853,S003,2025-12-31 19:57:08,Completed,CASH,123898.38,2025-12-31 19:57:08,2025-12-31 20:45:08
O0000075,C008326,S001,2026-05-27 14:33:21,Completed,CARD,18238.26,2026-05-27 14:33:21,2026-05-27 17:08:21
O0000076,C015822,S002,2024-09-28 20:56:12,Completed,WALLET,751.73,2024-09-28 20:56:12,2024-09-29 00:30:12
O0000077,C015662,S010,2024-07-20 13:24:11,Completed,CASH,41140.70,2024-07-20 13:24:11,2024-07-20 15:01:11
O0000078,C007887,S002,2024-07-04 18:50:58,Completed,WALLET,15936.32,2024-07-04 18:50:58,2024-07-04 20:23:58
O0000079,C011228,S009,2024-10-02 12:28:50,Completed,INSTALLMENT,39210.68,2024-10-02 12:28:50,2024-10-02 13:12:50
O0000080,C007248,S009,2024-10-13 15:27:11,Completed,CASH,21897.17,2024-10-13 15:27:11,2024-10-13 18:42:11
O0000081,C001311,S001,2025-08-09 21:12:23,Completed,CASH,18110.91,2025-08-09 21:12:23,2025-08-10 00:05:23
O0000082,C008150,S004,2026-06-13 19:46:26,Returned,CARD,14147.16,2026-06-13 19:46:26,2026-06-13 21:59:26
O0000083,,S012,2025-11-05 21:03:04,Completed,CARD,1423.26,2025-11-05 21:03:04,2025-11-05 21:20:04
O0000084,C008063,S002,2026-03-30 11:28:22,Completed,CARD,15643.73,2026-03-30 11:28:22,2026-03-30 14:35:22
O0000085,C000070,S007,2026-01-09 20:47:05,Cancelled,CARD,9295.78,2026-01-09 20:47:05,2026-01-09 22:57:05
O0000086,C007985,S003,2025-04-26 16:31:45,Completed,CARD,233192.41,2025-04-26 16:31:45,2025-04-26 19:09:45
O0000087,C002286,S006,2024-01-29 16:49:23,Completed,CARD,221100.35,2024-01-29 16:49:23,2024-01-29 19:28:23
O0000088,C017036,S005,2025-06-20 12:17:49,Completed,CARD,141116.14,2025-06-20 12:17:49,2025-06-20 13:06:49
O0000089,C003821,S012,2024-06-03 21:28:46,Completed,CARD,23801.43,2024-06-03 21:28:46,2024-06-04 01:10:46
O0000090,C007437,S002,2024-06-28 18:54:12,Completed,CARD,1093.53,2024-06-28 18:54:12,2024-06-28 21:40:12
O0000091,C000636,S006,2025-08-25 20:15:26,Completed,WALLET,3386.85,2025-08-25 20:15:26,2025-08-25 22:43:26
O0000092,C018785,S001,2024-12-11 17:31:35,Completed,CARD,152072.63,2024-12-11 17:31:35,2024-12-11 18:20:35
O0000093,C008497,S007,2025-02-22 15:27:23,Completed,INSTALLMENT,60104.92,2025-02-22 15:27:23,2025-02-22 16:29:23
O0000094,C004899,S001,2024-03-13 16:46:13,Completed,CARD,35955.24,2024-03-13 16:46:13,2024-03-13 17:34:13
O0000095,C014093,S005,2025-08-02 17:05:45,Completed,CARD,65588.16,2025-08-02 17:05:45,2025-08-02 17:34:45
O0000096,C014490,S008,2025-06-26 17:32:57,Completed,CARD,117650.06,2025-06-26 17:32:57,2025-06-26 18:20:57
O0000097,C019830,S012,2024-11-06 18:57:25,Completed,CARD,10551.96,2024-11-06 18:57:25,2024-11-06 21:46:25
O0000098,C009856,S003,2026-02-10 11:41:28,Completed,CARD,4356.32,2026-02-10 11:41:28,2026-02-10 12:47:28
O0000099,C010156,S010,2024-09-02 17:13:26,Completed,CARD,57722.29,2024-09-02 17:13:26,2024-09-02 18:27:26
O0000100,C007204,S009,2025-03-24 21:49:18,Completed,CARD,144596.15,2025-03-24 21:49:18,2025-03-25 00:37:18
O0000101,C006523,S005,2024-12-30 11:54:06,Completed,CARD,80547.04,2024-12-30 11:54:06,2024-12-30 12:27:06
O0000102,C007310,S011,2024-09-04 12:53:32,Completed,CARD,27552.74,2024-09-04 12:53:32,2024-09-04 16:04:32
O0000103,C006158,S002,2024-09-17 18:33:31,Completed,CARD,39322.59,2024-09-17 18:33:31,2024-09-17 18:39:31
O0000104,C016752,S008,2025-08-12 19:43:26,Completed,CARD,2509.14,2025-08-12 19:43:26,2025-08-12 21:07:26
O0000105,C019161,S001,2024-01-18 12:35:33,Completed,CARD,162638.73,2024-01-18 12:35:33,2024-01-18 13:36:33
O0000106,C010949,S007,2024-12-31 16:56:42,Completed,CASH,6959.51,2024-12-31 16:56:42,2024-12-31 18:00:42
O0000107,C009575,S005,2025-02-20 21:20:14,Returned,CASH,66693.07,2025-02-20 21:20:14,2025-02-21 00:32:14
O0000108,C010304,S007,2025-06-09 20:57:37,Completed,WALLET,50855.07,2025-06-09 20:57:37,2025-06-09 21:54:37
O0000109,C000843,S009,2024-06-06 16:22:37,Completed,CASH,61071.56,2024-06-06 16:22:37,2024-06-06 18:47:37
O0000110,C003283,S002,2024-02-23 17:10:12,Completed,CARD,75484.01,2024-02-23 17:10:12,2024-02-23 18:10:12
O0000111,C013391,S003,2024-02-25 15:35:37,Completed,CARD,11072.22,2024-02-25 15:35:37,2024-02-25 15:41:37
O0000112,C012614,S007,2026-05-13 13:17:43,Cancelled,INSTALLMENT,20650.73,2026-05-13 13:17:43,2026-05-13 13:22:43
O0000113,C006666,S008,2025-08-29 19:32:12,Completed,INSTALLMENT,42099.08,2025-08-29 19:32:12,2025-08-29 22:20:12
O0000114,C013772,S003,2025-09-15 12:14:59,Completed,CASH,6876.67,2025-09-15 12:14:59,2025-09-15 15:10:59
O0000115,C003577,S011,2024-08-19 18:19:04,Completed,CARD,24483.04,2024-08-19 18:19:04,2024-08-19 18:50:04
O0000116,,S005,2024-05-26 15:52:03,Completed,CASH,14373.48,2024-05-26 15:52:03,2024-05-26 17:49:03
O0000117,C015177,S006,2026-05-12 21:36:09,Completed,CARD,21845.15,2026-05-12 21:36:09,2026-05-12 23:10:09
O0000118,C010168,S002,2025-07-20 20:37:04,Returned,CARD,17135.83,2025-07-20 20:37:04,2025-07-20 23:54:04
O0000119,,S011,2026-04-18 16:07:17,Completed,CASH,119108.94,2026-04-18 16:07:17,2026-04-18 19:49:17
O0000120,C000651,S005,2024-07-11 16:40:30,Completed,CARD,56862.18,2024-07-11 16:40:30,2024-07-11 18:00:30
O0000121,C004886,S009,2025-11-10 18:36:09,Completed,CARD,4508.35,2025-11-10 18:36:09,2025-11-10 22:28:09
O0000122,C009406,S005,2025-11-02 20:06:09,Completed,CARD,71635.30,2025-11-02 20:06:09,2025-11-02 20:28:09
O0000123,C016145,S004,2026-06-16 20:21:12,Completed,CARD,26110.09,2026-06-16 20:21:12,2026-06-16 22:12:12
O0000124,C007442,S011,2026-03-04 13:43:33,Completed,CASH,54330.52,2026-03-04 13:43:33,2026-03-04 15:49:33
O0000125,C012361,S009,2024-04-08 15:10:10,Completed,WALLET,3076.18,2024-04-08 15:10:10,2024-04-08 16:56:10
O0000126,C005429,S007,2025-08-16 12:40:41,Cancelled,CARD,119076.08,2025-08-16 12:40:41,2025-08-16 14:20:41
O0000127,C019261,S001,2024-11-03 15:32:54,Completed,CASH,9921.11,2024-11-03 15:32:54,2024-11-03 15:38:54
O0000128,C006482,S004,2026-03-31 21:16:32,Completed,WALLET,75054.11,2026-03-31 21:16:32,2026-04-01 01:06:32
O0000129,C016469,S001,2025-10-26 18:50:41,Completed,CARD,4577.90,2025-10-26 18:50:41,2025-10-26 18:55:41
O0000130,C002174,S008,2025-09-30 12:33:48,Completed,CASH,104951.35,2025-09-30 12:33:48,2025-09-30 13:19:48
O0000131,,S005,2026-01-19 19:23:48,Completed,CARD,173526.25,2026-01-19 19:23:48,2026-01-19 19:32:48
O0000132,C018372,S005,2025-11-26 16:14:51,Completed,CARD,70051.67,2025-11-26 16:14:51,2025-11-26 16:39:51
O0000133,C010394,S006,2025-03-31 13:26:09,Completed,CARD,85934.04,2025-03-31 13:26:09,2025-03-31 16:29:09
O0000134,C009228,S008,2024-08-17 17:36:18,Cancelled,CARD,32897.26,2024-08-17 17:36:18,2024-08-17 18:53:18
O0000135,C006557,S009,2024-07-16 13:15:23,Completed,CARD,6549.50,2024-07-16 13:15:23,2024-07-16 17:01:23
O0000136,C011743,S005,2025-09-14 19:05:42,Completed,CARD,36677.00,2025-09-14 19:05:42,2025-09-14 19:19:42
O0000137,C008389,S008,2025-01-17 17:34:09,Completed,CARD,3098.08,2025-01-17 17:34:09,2025-01-17 17:41:09
O0000138,C005232,S011,2025-10-02 19:37:40,Completed,CARD,24692.95,2025-10-02 19:37:40,2025-10-02 20:55:40
O0000139,C018019,S004,2025-11-14 14:14:46,Completed,CARD,48214.92,2025-11-14 14:14:46,2025-11-14 15:40:46
O0000140,C011045,S011,2026-05-20 18:06:31,Completed,WALLET,90519.63,2026-05-20 18:06:31,2026-05-20 20:51:31
O0000141,C008627,S012,2025-02-16 12:56:48,Completed,CARD,24051.07,2025-02-16 12:56:48,2025-02-16 13:57:48
O0000142,C014209,S010,2025-01-14 12:22:15,Returned,CARD,10004.19,2025-01-14 12:22:15,2025-01-14 14:01:15
O0000143,C015636,S003,2025-03-31 19:53:11,Completed,CARD,78998.26,2025-03-31 19:53:11,2025-03-31 21:43:11
O0000144,C003600,S012,2024-02-08 13:01:21,Completed,CASH,110160.48,2024-02-08 13:01:21,2024-02-08 16:07:21
O0000145,C016338,S009,2025-05-08 10:31:02,Completed,CASH,46853.71,2025-05-08 10:31:02,2025-05-08 14:17:02
O0000146,C007313,S001,2026-07-04 16:34:53,Completed,INSTALLMENT,111322.30,2026-07-04 16:34:53,2026-07-04 18:21:53
O0000147,C011094,S003,2026-06-16 10:09:36,Completed,CARD,68873.95,2026-06-16 10:09:36,2026-06-16 12:59:36
O0000148,C011031,S009,2024-01-05 13:20:01,Completed,CARD,200148.87,2024-01-05 13:20:01,2024-01-05 15:12:01
O0000149,C000737,S002,2025-03-25 18:54:27,Completed,INSTALLMENT,11652.18,2025-03-25 18:54:27,2025-03-25 22:31:27
O0000150,C006576,S011,2024-06-13 11:21:30,Completed,CARD,47009.60,2024-06-13 11:21:30,2024-06-13 14:46:30
O0000151,C018163,S001,2025-08-19 15:51:41,Completed,CASH,170576.02,2025-08-19 15:51:41,2025-08-19 16:00:41
O0000152,C012953,S004,2025-02-19 18:29:10,Completed,CARD,43756.47,2025-02-19 18:29:10,2025-02-19 21:15:10
O0000153,C005999,S001,2024-05-28 15:20:00,Completed,CARD,23007.47,2024-05-28 15:20:00,2024-05-28 17:56:00
O0000154,C013442,S012,2024-09-26 18:41:55,Completed,CARD,27893.22,2024-09-26 18:41:55,2024-09-26 20:09:55
O0000155,,S002,2026-03-02 17:36:42,Returned,CARD,3075.94,2026-03-02 17:36:42,2026-03-02 17:42:42
O0000156,C004915,S009,2025-10-13 10:00:23,Completed,CARD,6309.25,2025-10-13 10:00:23,2025-10-13 12:19:23
O0000157,C000983,S008,2025-10-14 16:52:08,Completed,CARD,59326.84,2025-10-14 16:52:08,2025-10-14 18:34:08
O0000158,C015118,S001,2024-03-29 18:34:45,Completed,CARD,11404.16,2024-03-29 18:34:45,2024-03-29 20:31:45
O0000159,,S009,2024-09-01 12:18:46,Completed,INSTALLMENT,101362.59,2024-09-01 12:18:46,2024-09-01 13:21:46
O0000160,C002682,S010,2025-01-04 15:21:15,Completed,CARD,15469.24,2025-01-04 15:21:15,2025-01-04 18:19:15
O0000161,C016405,S011,2026-06-17 18:19:27,Completed,CARD,22200.85,2026-06-17 18:19:27,2026-06-17 20:07:27
O0000162,C008042,S010,2025-03-02 16:23:27,Completed,CARD,79246.78,2025-03-02 16:23:27,2025-03-02 16:54:27
O0000163,C006048,S011,2025-07-28 17:32:15,Completed,CASH,4755.95,2025-07-28 17:32:15,2025-07-28 19:40:15
O0000164,C011735,S002,2024-11-27 18:58:06,Completed,CASH,51846.61,2024-11-27 18:58:06,2024-11-27 19:04:06
O0000165,,S010,2025-01-09 21:39:25,Completed,CASH,18543.55,2025-01-09 21:39:25,2025-01-10 01:25:25
O0000166,C011297,S007,2025-06-28 21:59:51,Completed,CARD,33579.99,2025-06-28 21:59:51,2025-06-29 01:52:51
O0000167,,S012,2026-03-02 17:50:32,Completed,INSTALLMENT,2226.42,2026-03-02 17:50:32,2026-03-02 20:19:32
O0000168,C003949,S001,2024-12-25 10:53:21,Completed,CASH,63197.95,2024-12-25 10:53:21,2024-12-25 13:32:21
O0000169,,S005,2024-11-03 14:33:57,Completed,CARD,41645.49,2024-11-03 14:33:57,2024-11-03 17:18:57
O0000170,C015721,S003,2024-11-29 14:20:49,Completed,CARD,29079.87,2024-11-29 14:20:49,2024-11-29 17:22:49
O0000171,C015493,S011,2024-02-25 11:53:20,Completed,CASH,3000.77,2024-02-25 11:53:20,2024-02-25 14:15:20
O0000172,C018174,S002,2024-12-17 16:00:51,Completed,INSTALLMENT,98336.37,2024-12-17 16:00:51,2024-12-17 18:38:51
O0000173,C018463,S001,2025-02-11 15:58:53,Completed,CARD,117821.70,2025-02-11 15:58:53,2025-02-11 19:33:53
O0000174,C000640,S007,2025-08-10 18:59:19,Completed,CARD,101649.66,2025-08-10 18:59:19,2025-08-10 19:40:19
O0000175,C009252,S009,2026-02-18 19:17:19,Completed,CASH,19958.10,2026-02-18 19:17:19,2026-02-18 21:18:19
O0000176,C001186,S012,2024-11-14 17:32:10,Completed,CARD,104557.23,2024-11-14 17:32:10,2024-11-14 18:37:10
O0000177,C007937,S002,2025-09-01 15:34:49,Completed,CARD,17152.55,2025-09-01 15:34:49,2025-09-01 18:56:49
O0000178,,S003,2024-08-20 16:47:39,Completed,CARD,71351.11,2024-08-20 16:47:39,2024-08-20 19:24:39
O0000179,C017035,S006,2026-06-01 17:39:45,Completed,CARD,267654.41,2026-06-01 17:39:45,2026-06-01 17:50:45
O0000180,C007168,S006,2026-01-13 18:35:52,Completed,CASH,60603.94,2026-01-13 18:35:52,2026-01-13 19:04:52
O0000181,C018722,S005,2025-01-01 15:16:20,Completed,CARD,2215.23,2025-01-01 15:16:20,2025-01-01 18:29:20
O0000182,C006039,S011,2024-07-30 16:38:09,Completed,CASH,14606.14,2024-07-30 16:38:09,2024-07-30 18:43:09
O0000183,C008524,S002,2024-09-03 21:56:54,Completed,CASH,54942.32,2024-09-03 21:56:54,2024-09-04 00:28:54
O0000184,C019958,S008,2024-04-20 19:34:32,Completed,CASH,61750.48,2024-04-20 19:34:32,2024-04-20 23:25:32
O0000185,C006414,S006,2025-03-26 15:54:30,Completed,INSTALLMENT,70971.88,2025-03-26 15:54:30,2025-03-26 17:45:30
O0000186,C000741,S010,2025-01-11 21:35:44,Completed,CASH,36243.65,2025-01-11 21:35:44,2025-01-12 00:41:44
O0000187,C003583,S006,2024-09-30 19:31:04,Completed,CARD,105572.32,2024-09-30 19:31:04,2024-09-30 23:27:04
O0000188,C004885,S006,2025-10-26 15:09:11,Completed,CARD,244705.20,2025-10-26 15:09:11,2025-10-26 18:26:11
O0000189,C004548,S007,2024-03-22 17:33:27,Completed,CARD,135155.52,2024-03-22 17:33:27,2024-03-22 17:35:27
O0000190,,S004,2024-06-09 18:55:22,Completed,CARD,12386.44,2024-06-09 18:55:22,2024-06-09 19:39:22
O0000191,C006192,S007,2025-11-13 17:45:05,Cancelled,CARD,97301.97,2025-11-13 17:45:05,2025-11-13 19:55:05
O0000192,C018269,S002,2026-01-25 15:29:41,Completed,CARD,82339.09,2026-01-25 15:29:41,2026-01-25 16:49:41
O0000193,C001172,S008,2025-08-04 14:13:43,Completed,INSTALLMENT,73062.76,2025-08-04 14:13:43,2025-08-04 15:47:43
O0000194,C005060,S007,2025-04-29 18:03:27,Returned,CARD,102736.78,2025-04-29 18:03:27,2025-04-29 21:05:27
O0000195,C014421,S011,2026-01-09 17:17:45,Completed,CARD,136597.59,2026-01-09 17:17:45,2026-01-09 18:14:45
O0000196,C014486,S009,2026-01-07 15:39:53,Completed,CARD,21129.52,2026-01-07 15:39:53,2026-01-07 19:34:53
O0000197,C019476,S008,2026-02-27 21:18:29,Completed,WALLET,20592.07,2026-02-27 21:18:29,2026-02-27 22:24:29
O0000198,C007513,S001,2025-09-02 16:14:34,Completed,WALLET,95155.26,2025-09-02 16:14:34,2025-09-02 18:48:34
O0000199,C016203,S010,2026-05-31 18:33:13,Completed,CARD,31469.15,2026-05-31 18:33:13,2026-05-31 21:50:13
O0000200,C008284,S005,2026-02-19 19:55:48,Completed,CARD,76678.94,2026-02-19 19:55:48,2026-02-19 20:06:48
O0000201,C016190,S001,2024-04-20 15:39:14,Completed,CARD,52415.83,2024-04-20 15:39:14,2024-04-20 17:57:14
O0000202,C003706,S010,2024-01-23 21:37:54,Completed,CARD,577.97,2024-01-23 21:37:54,2024-01-23 22:03:54
O0000203,C019173,S001,2024-04-20 16:33:46,Completed,CASH,17359.91,2024-04-20 16:33:46,2024-04-20 19:15:46
O0000204,C011797,S008,2026-01-29 15:03:16,Completed,CASH,7507.52,2026-01-29 15:03:16,2026-01-29 16:25:16
O0000205,C002525,S001,2026-03-19 14:42:15,Completed,CARD,23460.90,2026-03-19 14:42:15,2026-03-19 17:33:15
O0000206,C002335,S007,2025-01-15 14:32:03,Completed,WALLET,40761.11,2025-01-15 14:32:03,2025-01-15 14:58:03
O0000207,C008818,S003,2024-09-30 18:45:38,Completed,CARD,8783.40,2024-09-30 18:45:38,2024-09-30 20:53:38
O0000208,C016680,S012,2024-02-01 15:55:04,Completed,CARD,37485.96,2024-02-01 15:55:04,2024-02-01 19:31:04
O0000209,C009114,S003,2025-05-31 15:43:59,Completed,CASH,61796.89,2025-05-31 15:43:59,2025-05-31 16:30:59
O0000210,C005128,S001,2024-06-23 13:59:52,Completed,CARD,2437.79,2024-06-23 13:59:52,2024-06-23 14:09:52
O0000211,C012474,S012,2025-09-02 19:14:01,Completed,CARD,168746.31,2025-09-02 19:14:01,2025-09-02 21:31:01
O0000212,C008005,S012,2026-07-11 20:34:38,Completed,WALLET,116630.09,2026-07-11 20:34:38,2026-07-11 21:28:38
O0000213,C007666,S001,2026-07-31 10:35:40,Completed,CARD,159043.07,2026-07-31 10:35:40,2026-07-31 13:05:40
O0000214,C017420,S006,2024-06-27 11:16:26,Pending,CARD,14501.09,2024-06-27 11:16:26,2024-06-27 14:24:26
O0000215,,S008,2025-03-12 10:21:48,Completed,CARD,207488.66,2025-03-12 10:21:48,2025-03-12 12:00:48
