MovementID,WarehouseID,ProductID,MovementType,QuantityChange,MovementDateTime,ReferenceNo,CreatedAt
62,WH02,P0194,ISSUE_TO_STORE,-35,2026-02-23 05:15:12,REF656860,2026-02-23 05:15:12
63,WH01,P0050,ISSUE_TO_STORE,-65,2026-03-24 15:30:31,REF844948,2026-03-24 15:30:31
64,WH01,P0101,TRANSFER_OUT,-2,2025-06-01 04:15:38,REF217300,2025-06-01 04:15:38
65,WH01,P0132,ADJUSTMENT_IN,21,2025-06-18 17:13:16,REF532222,2025-06-18 17:13:16
66,WH02,P0044,ISSUE_TO_STORE,-47,2026-07-26 01:28:53,REF464360,2026-07-26 01:28:53
67,WH01,P0319,RECEIPT,18,2025-02-06 03:14:09,REF989712,2025-02-06 03:14:09
68,WH02,P0155,ISSUE_TO_STORE,-39,2026-01-04 15:00:11,REF628193,2026-01-04 15:00:11
69,WH02,P0050,RETURN_TO_VENDOR,-3,2025-02-26 07:11:24,REF759504,2025-02-26 07:11:24
70,WH02,P0124,ISSUE_TO_STORE,-26,2026-03-14 03:55:54,REF199863,2026-03-14 03:55:54
71,WH01,P0082,RECEIPT,56,2026-06-08 12:47:29,REF219845,2026-06-08 12:47:29
72,WH02,P0049,ISSUE_TO_STORE,-44,2025-09-06 17:28:17,REF410824,2025-09-06 17:28:17
73,WH01,P0275,RECEIPT,48,2026-07-15 02:03:19,REF141566,2026-07-15 02:03:19
74,WH02,P0254,RECEIPT,48,2025-12-25 14:59:21,REF700224,2025-12-25 14:59:21
75,WH02,P0141,RECEIPT,51,2026-03-26 18:25:57,REF110946,2026-03-26 18:25:57
76,WH01,P0075,ISSUE_TO_STORE,-17,2026-06-29 02:35:14,REF823876,2026-06-29 02:35:14
77,WH02,P0028,RETURN_TO_VENDOR,-30,2026-02-17 02:00:54,REF271781,2026-02-17 02:00:54
78,WH02,P0300,TRANSFER_IN,29,2025-07-04 00:56:23,REF437604,2025-07-04 00:56:23
79,WH02,P0072,RECEIPT,69,2025-10-11 09:52:52,REF319839,2025-10-11 09:52:52
80,WH01,P0041,TRANSFER_OUT,-48,2025-04-07 10:35:28,REF396532,2025-04-07 10:35:28
81,WH02,P0146,ISSUE_TO_STORE,-1,2026-05-17 19:02:42,REF545752,2026-05-17 19:02:42
82,WH01,P0275,RECEIPT,42,2025-11-16 20:54:24,REF769140,2025-11-16 20:54:24
83,WH01,P0216,ISSUE_TO_STORE,-22,2025-12-16 17:44:27,REF577181,2025-12-16 17:44:27
84,WH01,P0258,RECEIPT,3,2025-02-17 12:15:57,REF920281,2025-02-17 12:15:57
85,WH01,P0111,ISSUE_TO_STORE,-13,2025-11-17 03:56:35,REF280530,2025-11-17 03:56:35
86,WH02,P0303,RETURN_TO_VENDOR,-68,2026-05-07 03:20:23,REF562166,2026-05-07 03:20:23
87,WH01,P0291,ISSUE_TO_STORE,-14,2026-06-19 10:56:01,REF163860,2026-06-19 10:56:01
88,WH02,P0198,ISSUE_TO_STORE,-40,2026-07-23 23:44:24,REF816216,2026-07-23 23:44:24
89,WH02,P0211,RECEIPT,2,2026-06-17 19:52:02,REF344600,2026-06-17 19:52:02
90,WH01,P0104,TRANSFER_IN,30,2025-05-20 18:29:02,REF747549,2025-05-20 18:29:02
91,WH01,P0227,ADJUSTMENT_IN,24,2026-07-28 07:12:52,REF135839,2026-07-28 07:12:52
92,WH01,P0210,ISSUE_TO_STORE,-19,2025-04-27 15:48:28,REF953515,2025-04-27 15:48:28
93,WH01,P0180,ADJUSTMENT_OUT,-24,2026-06-24 03:39:53,REF390122,2026-06-24 03:39:53
94,WH01,P0118,RECEIPT,61,2026-01-17 15:34:04,REF904268,2026-01-17 15:34:04
95,WH01,P0113,ISSUE_TO_STORE,-44,2025-09-26 03:47:02,REF711665,2025-09-26 03:47:02
96,WH02,P0193,ADJUSTMENT_IN,7,2026-03-23 01:12:21,REF584097,2026-03-23 01:12:21
97,WH01,P0073,ISSUE_TO_STORE,-13,2026-03-06 12:20:52,REF306653,2026-03-06 12:20:52
98,WH01,P0167,ADJUSTMENT_IN,41,2025-09-02 19:57:56,REF908472,2025-09-02 19:57:56
99,WH01,P0142,ISSUE_TO_STORE,-64,2025-10-19 02:32:19,REF543634,2025-10-19 02:32:19
100,WH01,P0243,RECEIPT,38,2026-06-03 22:37:05,REF182657,2026-06-03 22:37:05
101,WH01,P0176,RECEIPT,43,2026-07-09 20:15:38,REF421392,2026-07-09 20:15:38
102,WH02,P0116,TRANSFER_IN,34,2025-05-28 11:44:32,REF762462,2025-05-28 11:44:32
103,WH02,P0282,RECEIPT,29,2025-06-03 17:16:52,REF292424,2025-06-03 17:16:52
104,WH02,P0273,ISSUE_TO_STORE,-22,2025-07-08 13:46:53,REF170406,2025-07-08 13:46:53
105,WH02,P0058,RECEIPT,39,2025-02-27 00:37:24,REF198674,2025-02-27 00:37:24
106,WH01,P0141,RECEIPT,27,2025-04-07 00:45:55,REF654112,2025-04-07 00:45:55
107,WH02,P0286,ADJUSTMENT_OUT,-22,2025-02-18 03:47:58,REF227421,2025-02-18 03:47:58
108,WH01,P0010,ISSUE_TO_STORE,-27,2026-06-27 20:34:45,REF356232,2026-06-27 20:34:45
109,WH02,P0179,RETURN_TO_VENDOR,-37,2025-11-08 21:56:22,REF873247,2025-11-08 21:56:22
110,WH01,P0100,ISSUE_TO_STORE,-1,2025-01-21 10:46:45,REF257380,2025-01-21 10:46:45
111,WH02,P0172,ISSUE_TO_STORE,-64,2026-04-01 12:32:29,REF426840,2026-04-01 12:32:29
112,WH01,P0024,TRANSFER_OUT,-48,2026-07-25 16:57:15,REF525213,2026-07-25 16:57:15
113,WH02,P0234,TRANSFER_IN,67,2025-11-08 19:58:48,REF645846,2025-11-08 19:58:48
114,WH02,P0171,ISSUE_TO_STORE,-65,2025-09-02 13:00:40,REF854962,2025-09-02 13:00:40
115,WH01,P0287,TRANSFER_OUT,-50,2025-08-25 21:56:10,REF284199,2025-08-25 21:56:10
116,WH02,P0218,ISSUE_TO_STORE,-18,2025-02-22 14:26:06,REF871557,2025-02-22 14:26:06
117,WH01,P0264,RECEIPT,7,2026-07-28 18:11:16,REF943296,2026-07-28 18:11:16
118,WH01,P0198,ISSUE_TO_STORE,-34,2026-03-15 04:42:24,REF133673,2026-03-15 04:42:24
119,WH01,P0011,ISSUE_TO_STORE,-52,2025-01-23 22:48:58,REF498565,2025-01-23 22:48:58
120,WH01,P0049,RECEIPT,54,2025-12-23 09:41:44,REF608363,2025-12-23 09:41:44
121,WH01,P0203,ISSUE_TO_STORE,-33,2025-07-04 00:09:27,REF455474,2025-07-04 00:09:27
122,WH02,P0155,RECEIPT,54,2026-07-08 09:33:27,REF578867,2026-07-08 09:33:27
123,WH01,P0313,ISSUE_TO_STORE,-62,2025-09-10 17:54:28,REF545903,2025-09-10 17:54:28
124,WH01,P0285,RETURN_TO_VENDOR,-51,2025-05-25 10:36:24,REF378847,2025-05-25 10:36:24
125,WH02,P0220,RECEIPT,66,2026-06-11 01:03:18,REF217973,2026-06-11 01:03:18
126,WH02,P0098,TRANSFER_OUT,-54,2026-03-24 06:03:40,REF143973,2026-03-24 06:03:40
127,WH01,P0181,RECEIPT,51,2025-05-11 05:55:48,REF757760,2025-05-11 05:55:48
128,WH01,P0187,ISSUE_TO_STORE,-43,2025-05-01 06:17:47,REF199731,2025-05-01 06:17:47
129,WH01,P0016,RECEIPT,11,2026-03-25 13:53:26,REF965508,2026-03-25 13:53:26
130,WH01,P0147,ADJUSTMENT_IN,43,2025-06-08 04:42:04,REF777171,2025-06-08 04:42:04
131,WH01,P0252,RECEIPT,62,2025-11-03 15:17:32,REF492001,2025-11-03 15:17:32
132,WH02,P0154,TRANSFER_OUT,-51,2026-05-22 19:28:03,REF959475,2026-05-22 19:28:03
133,WH02,P0037,ADJUSTMENT_OUT,-17,2025-08-22 16:32:43,REF921309,2025-08-22 16:32:43
134,WH02,P0105,ADJUSTMENT_OUT,-44,2025-04-06 14:54:50,REF338211,2025-04-06 14:54:50
135,WH01,P0313,ADJUSTMENT_OUT,-30,2025-07-30 03:32:27,REF767821,2025-07-30 03:32:27
136,WH01,P0006,ISSUE_TO_STORE,-62,2025-08-06 07:18:34,REF803188,2025-08-06 07:18:34
137,WH01,P0243,RETURN_TO_VENDOR,-4,2025-09-07 18:44:58,REF953002,2025-09-07 18:44:58
138,WH02,P0184,ISSUE_TO_STORE,-53,2026-07-23 10:21:50,REF406670,2026-07-23 10:21:50
139,WH01,P0094,TRANSFER_IN,21,2025-04-04 06:02:42,REF119370,2025-04-04 06:02:42
140,WH01,P0082,TRANSFER_OUT,-23,2025-09-23 22:24:51,REF794735,2025-09-23 22:24:51
141,WH02,P0005,RECEIPT,49,2025-06-13 07:08:16,REF331398,2025-06-13 07:08:16
142,WH01,P0080,TRANSFER_IN,36,2026-01-24 01:41:55,REF910969,2026-01-24 01:41:55
143,WH02,P0100,RECEIPT,14,2025-04-26 19:34:24,REF781385,2025-04-26 19:34:24
144,WH02,P0317,ADJUSTMENT_IN,1,2026-03-27 01:38:23,REF398246,2026-03-27 01:38:23
145,WH01,P0047,RECEIPT,7,2025-02-11 09:53:53,REF861616,2025-02-11 09:53:53
146,WH02,P0138,RECEIPT,9,2026-01-05 09:00:58,REF297864,2026-01-05 09:00:58
147,WH01,P0204,RECEIPT,29,2025-02-15 06:09:44,REF280998,2025-02-15 06:09:44
148,WH01,P0038,RECEIPT,47,2025-12-18 16:20:11,REF712113,2025-12-18 16:20:11
149,WH02,P0151,ADJUSTMENT_IN,32,2026-03-11 05:44:05,REF645882,2026-03-11 05:44:05
150,WH01,P0100,TRANSFER_IN,49,2026-03-09 08:05:28,REF114588,2026-03-09 08:05:28
151,WH02,P0230,RECEIPT,16,2025-10-07 04:39:23,REF782776,2025-10-07 04:39:23
152,WH01,P0281,TRANSFER_IN,66,2026-03-31 23:14:48,REF814768,2026-03-31 23:14:48
153,WH01,P0303,ISSUE_TO_STORE,-14,2025-04-27 03:45:27,REF106328,2025-04-27 03:45:27
154,WH02,P0039,RECEIPT,57,2025-07-04 19:33:31,REF828809,2025-07-04 19:33:31
155,WH02,P0036,ISSUE_TO_STORE,-6,2025-06-06 16:23:05,REF685991,2025-06-06 16:23:05
156,WH02,P0232,ISSUE_TO_STORE,-4,2025-07-15 18:23:58,REF697751,2025-07-15 18:23:58
157,WH02,P0007,RECEIPT,30,2026-02-01 02:19:55,REF433879,2026-02-01 02:19:55
158,WH01,P0128,RETURN_TO_VENDOR,-48,2026-06-22 16:16:38,REF844125,2026-06-22 16:16:38
159,WH01,P0144,TRANSFER_OUT,-48,2026-06-17 22:36:02,REF656696,2026-06-17 22:36:02
160,WH02,P0118,RECEIPT,31,2025-05-19 03:35:03,REF148803,2025-05-19 03:35:03
161,WH01,P0193,ADJUSTMENT_OUT,-8,2026-01-21 09:39:45,REF111383,2026-01-21 09:39:45
162,WH02,P0009,ISSUE_TO_STORE,-43,2025-05-21 11:03:29,REF666003,2025-05-21 11:03:29
163,WH02,P0014,TRANSFER_OUT,-43,2025-08-24 21:21:21,REF211144,2025-08-24 21:21:21
164,WH02,P0123,TRANSFER_OUT,-29,2025-08-31 05:52:49,REF931890,2025-08-31 05:52:49
165,WH01,P0253,RECEIPT,9,2026-04-11 10:52:43,REF401617,2026-04-11 10:52:43
166,WH02,P0208,ISSUE_TO_STORE,-16,2026-02-27 10:15:51,REF652390,2026-02-27 10:15:51
167,WH01,P0245,ISSUE_TO_STORE,-8,2025-10-30 10:03:53,REF232870,2025-10-30 10:03:53
168,WH02,P0270,TRANSFER_IN,64,2025-06-22 18:12:40,REF351718,2025-06-22 18:12:40
169,WH01,P0269,ISSUE_TO_STORE,-11,2026-03-28 10:41:49,REF325475,2026-03-28 10:41:49
170,WH02,P0237,ISSUE_TO_STORE,-50,2026-03-01 00:25:00,REF151150,2026-03-01 00:25:00
171,WH01,P0102,ISSUE_TO_STORE,-2,2025-06-26 10:27:33,REF370517,2025-06-26 10:27:33
172,WH01,P0233,ISSUE_TO_STORE,-1,2025-03-24 16:09:12,REF655817,2025-03-24 16:09:12
173,WH02,P0135,RECEIPT,36,2026-04-22 12:25:50,REF706202,2026-04-22 12:25:50
174,WH01,P0108,ISSUE_TO_STORE,-2,2025-12-14 05:43:15,REF590426,2025-12-14 05:43:15
175,WH02,P0303,RETURN_TO_VENDOR,-34,2025-04-29 22:42:46,REF935848,2025-04-29 22:42:46
176,WH01,P0302,ADJUSTMENT_OUT,-16,2025-11-24 19:26:04,REF731098,2025-11-24 19:26:04
177,WH01,P0035,RECEIPT,42,2025-05-08 11:10:49,REF853159,2025-05-08 11:10:49
178,WH01,P0115,ISSUE_TO_STORE,-39,2026-06-23 21:33:44,REF403224,2026-06-23 21:33:44
179,WH02,P0098,ISSUE_TO_STORE,-3,2026-03-21 03:18:05,REF842512,2026-03-21 03:18:05
180,WH01,P0276,ISSUE_TO_STORE,-4,2025-11-23 22:47:33,REF599654,2025-11-23 22:47:33
181,WH01,P0087,RECEIPT,63,2026-07-04 08:52:36,REF593588,2026-07-04 08:52:36
182,WH02,P0107,RETURN_TO_VENDOR,-43,2025-04-24 09:02:05,REF125851,2025-04-24 09:02:05
183,WH02,P0141,RECEIPT,31,2025-10-15 19:27:06,REF574863,2025-10-15 19:27:06
184,WH02,P0293,TRANSFER_OUT,-9,2025-06-13 07:54:02,REF803044,2025-06-13 07:54:02
185,WH02,P0142,RECEIPT,39,2025-04-27 22:26:20,REF248672,2025-04-27 22:26:20
186,WH02,P0219,ISSUE_TO_STORE,-37,2025-08-26 10:15:45,REF138509,2025-08-26 10:15:45
187,WH01,P0108,TRANSFER_OUT,-39,2025-04-09 00:03:43,REF885675,2025-04-09 00:03:43
188,WH01,P0082,RECEIPT,65,2025-10-31 01:05:03,REF668290,2025-10-31 01:05:03
189,WH02,P0068,RETURN_TO_VENDOR,-31,2025-02-28 05:18:20,REF838108,2025-02-28 05:18:20
190,WH02,P0282,TRANSFER_OUT,-61,2025-04-13 06:08:08,REF751997,2025-04-13 06:08:08
191,WH01,P0015,RECEIPT,53,2026-06-27 15:32:18,REF906788,2026-06-27 15:32:18
192,WH01,P0042,TRANSFER_OUT,-7,2025-11-19 16:17:27,REF172319,2025-11-19 16:17:27
193,WH02,P0212,RETURN_TO_VENDOR,-6,2026-01-05 19:47:52,REF877152,2026-01-05 19:47:52
194,WH01,P0141,ISSUE_TO_STORE,-8,2025-06-19 19:27:10,REF810372,2025-06-19 19:27:10
195,WH01,P0305,RECEIPT,63,2025-09-05 18:22:42,REF453478,2025-09-05 18:22:42
196,WH01,P0120,RECEIPT,24,2025-06-04 13:17:21,REF755665,2025-06-04 13:17:21
197,WH02,P0190,RECEIPT,20,2025-09-17 01:52:40,REF288011,2025-09-17 01:52:40
198,WH02,P0278,TRANSFER_IN,47,2025-11-02 03:19:58,REF127963,2025-11-02 03:19:58
199,WH01,P0005,RECEIPT,26,2026-05-27 13:59:26,REF810879,2026-05-27 13:59:26
200,WH02,P0250,TRANSFER_OUT,-13,2025-08-31 05:12:29,REF688863,2025-08-31 05:12:29
201,WH02,P0058,RECEIPT,44,2025-08-02 03:37:23,REF267606,2025-08-02 03:37:23
202,WH02,P0169,RECEIPT,58,2025-07-13 14:04:19,REF117212,2025-07-13 14:04:19
203,WH02,P0099,RECEIPT,13,2026-01-30 01:18:53,REF533429,2026-01-30 01:18:53
204,WH01,P0201,TRANSFER_IN,49,2026-07-17 06:25:23,REF812549,2026-07-17 06:25:23
205,WH01,P0032,ADJUSTMENT_IN,23,2026-02-15 04:55:32,REF693465,2026-02-15 04:55:32
206,WH02,P0136,ISSUE_TO_STORE,-48,2026-03-23 01:10:49,REF999238,2026-03-23 01:10:49
207,WH01,P0019,ISSUE_TO_STORE,-43,2025-11-29 06:16:04,REF760760,2025-11-29 06:16:04
208,WH02,P0131,ISSUE_TO_STORE,-65,2025-10-14 09:24:26,REF368181,2025-10-14 09:24:26
209,WH02,P0015,RECEIPT,52,2025-02-10 02:59:50,REF448726,2025-02-10 02:59:50
210,WH01,P0140,ISSUE_TO_STORE,-63,2026-04-18 13:09:20,REF280990,2026-04-18 13:09:20
211,WH01,P0062,TRANSFER_OUT,-16,2025-11-13 22:15:14,REF240962,2025-11-13 22:15:14
212,WH01,P0060,TRANSFER_IN,25,2025-03-24 23:05:59,REF485411,2025-03-24 23:05:59
213,WH01,P0228,RECEIPT,61,2026-01-04 14:44:48,REF905448,2026-01-04 14:44:48
214,WH01,P0282,ADJUSTMENT_OUT,-3,2025-02-22 13:36:50,REF288219,2025-02-22 13:36:50
215,WH02,P0161,ADJUSTMENT_IN,52,2026-05-28 01:07:29,REF119970,2026-05-28 01:07:29
216,WH01,P0203,ISSUE_TO_STORE,-16,2026-05-04 11:52:43,REF125915,2026-05-04 11:52:43
217,WH01,P0075,ISSUE_TO_STORE,-8,2025-07-22 15:22:25,REF878464,2025-07-22 15:22:25
218,WH01,P0108,RECEIPT,39,2025-11-18 02:36:36,REF318599,2025-11-18 02:36:36
219,WH01,P0005,ISSUE_TO_STORE,-51,2026-02-03 16:13:22,REF143039,2026-02-03 16:13:22
220,WH02,P0308,RECEIPT,19,2026-01-29 12:58:27,REF569829,2026-01-29 12:58:27
221,WH02,P0137,RECEIPT,27,2025-04-21 12:18:08,REF128553,2025-04-21 12:18:08
222,WH02,P0041,TRANSFER_OUT,-61,2026-07-23 09:14:48,REF632092,2026-07-23 09:14:48
223,WH02,P0248,RECEIPT,44,2026-01-07 22:26:29,REF808529,2026-01-07 22:26:29
224,WH02,P0210,ISSUE_TO_STORE,-46,2025-12-15 13:48:42,REF159729,2025-12-15 13:48:42
225,WH01,P0095,TRANSFER_IN,31,2026-06-11 13:04:00,REF939928,2026-06-11 13:04:00
226,WH02,P0254,ISSUE_TO_STORE,-23,2025-07-24 04:27:59,REF274761,2025-07-24 04:27:59
227,WH01,P0146,ISSUE_TO_STORE,-28,2026-01-29 11:17:49,REF213876,2026-01-29 11:17:49
228,WH01,P0063,TRANSFER_IN,1,2025-09-02 00:19:42,REF214948,2025-09-02 00:19:42
229,WH02,P0123,ISSUE_TO_STORE,-1,2026-05-16 12:39:22,REF426786,2026-05-16 12:39:22
230,WH01,P0175,TRANSFER_OUT,-2,2025-05-21 04:47:41,REF112984,2025-05-21 04:47:41
231,WH02,P0243,RECEIPT,22,2026-04-07 17:38:32,REF561978,2026-04-07 17:38:32
232,WH02,P0116,RETURN_TO_VENDOR,-18,2025-10-18 08:16:29,REF218397,2025-10-18 08:16:29
233,WH01,P0318,ISSUE_TO_STORE,-16,2025-06-06 17:54:20,REF636104,2025-06-06 17:54:20
234,WH01,P0279,ISSUE_TO_STORE,-4,2025-01-24 17:20:58,REF722702,2025-01-24 17:20:58
235,WH02,P0059,RECEIPT,8,2025-08-31 05:42:39,REF221057,2025-08-31 05:42:39
236,WH02,P0252,ADJUSTMENT_OUT,-1,2025-02-18 03:48:14,REF165658,2025-02-18 03:48:14
237,WH02,P0016,ISSUE_TO_STORE,-58,2026-07-01 23:20:20,REF297941,2026-07-01 23:20:20
238,WH02,P0276,RECEIPT,40,2025-02-22 06:28:46,REF587703,2025-02-22 06:28:46
239,WH01,P0189,RECEIPT,57,2025-12-05 11:51:01,REF342395,2025-12-05 11:51:01
240,WH01,P0303,RECEIPT,44,2026-02-02 16:15:20,REF897040,2026-02-02 16:15:20
241,WH01,P0309,ISSUE_TO_STORE,-34,2025-04-17 16:58:31,REF283942,2025-04-17 16:58:31
242,WH02,P0302,ISSUE_TO_STORE,-51,2025-04-16 23:56:03,REF951246,2025-04-16 23:56:03
243,WH01,P0271,RECEIPT,19,2026-01-14 03:12:43,REF111512,2026-01-14 03:12:43
244,WH02,P0024,ISSUE_TO_STORE,-7,2025-10-02 12:22:06,REF538314,2025-10-02 12:22:06
245,WH02,P0173,ISSUE_TO_STORE,-65,2025-04-21 08:33:23,REF615254,2025-04-21 08:33:23
246,WH01,P0128,ISSUE_TO_STORE,-67,2026-04-06 16:29:27,REF545963,2026-04-06 16:29:27
247,WH01,P0148,ADJUSTMENT_OUT,-10,2025-09-04 17:48:09,REF100231,2025-09-04 17:48:09
248,WH01,P0189,RECEIPT,12,2025-10-15 22:42:48,REF837027,2025-10-15 22:42:48
249,WH01,P0039,RECEIPT,69,2025-10-29 22:59:05,REF115636,2025-10-29 22:59:05
250,WH02,P0051,ISSUE_TO_STORE,-11,2025-10-11 23:18:22,REF248931,2025-10-11 23:18:22
251,WH02,P0023,ISSUE_TO_STORE,-16,2025-11-09 09:53:18,REF414281,2025-11-09 09:53:18
252,WH02,P0318,TRANSFER_IN,16,2026-04-10 18:53:33,REF379546,2026-04-10 18:53:33
253,WH01,P0094,RECEIPT,12,2026-03-30 15:42:16,REF737157,2026-03-30 15:42:16
254,WH01,P0118,ISSUE_TO_STORE,-36,2025-05-17 18:46:23,REF998178,2025-05-17 18:46:23
255,WH02,P0048,TRANSFER_IN,46,2025-11-19 03:16:21,REF308272,2025-11-19 03:16:21
256,WH02,P0099,ISSUE_TO_STORE,-41,2025-01-06 13:40:05,REF477755,2025-01-06 13:40:05
