WarehouseID,ProductID,QuantityOnHand,ReservedQuantity,AvailableQuantity,LastUpdated
WH01,P0039,78,23,55,2026-07-31 23:59:59
WH01,P0040,185,2,183,2026-07-31 23:59:59
WH01,P0041,344,11,333,2026-07-31 23:59:59
WH01,P0042,68,11,57,2026-07-31 23:59:59
WH01,P0043,83,73,10,2026-07-31 23:59:59
WH01,P0044,133,9,124,2026-07-31 23:59:59
WH01,P0045,76,58,18,2026-07-31 23:59:59
WH01,P0046,287,24,263,2026-07-31 23:59:59
WH01,P0047,265,28,237,2026-07-31 23:59:59
WH01,P0048,201,61,140,2026-07-31 23:59:59
WH01,P0049,94,54,40,2026-07-31 23:59:59
WH01,P0050,204,2,202,2026-07-31 23:59:59
WH01,P0051,13,0,13,2026-07-31 23:59:59
WH01,P0052,321,45,276,2026-07-31 23:59:59
WH01,P0053,66,28,38,2026-07-31 23:59:59
WH01,P0054,77,43,34,2026-07-31 23:59:59
WH01,P0055,32,15,17,2026-07-31 23:59:59
WH01,P0056,151,3,148,2026-07-31 23:59:59
WH01,P0057,216,24,192,2026-07-31 23:59:59
WH01,P0058,10,9,1,2026-07-31 23:59:59
WH01,P0059,296,42,254,2026-07-31 23:59:59
WH01,P0060,97,42,55,2026-07-31 23:59:59
WH01,P0061,195,48,147,2026-07-31 23:59:59
WH01,P0062,321,20,301,2026-07-31 23:59:59
WH01,P0063,320,80,240,2026-07-31 23:59:59
WH01,P0064,186,63,123,2026-07-31 23:59:59
WH01,P0065,321,61,260,2026-07-31 23:59:59
WH01,P0066,307,1,306,2026-07-31 23:59:59
WH01,P0067,93,58,35,2026-07-31 23:59:59
WH01,P0068,314,23,291,2026-07-31 23:59:59
WH01,P0069,265,4,261,2026-07-31 23:59:59
WH01,P0070,167,78,89,2026-07-31 23:59:59
WH01,P0071,275,14,261,2026-07-31 23:59:59
WH01,P0072,314,43,271,2026-07-31 23:59:59
WH01,P0073,47,28,19,2026-07-31 23:59:59
WH01,P0074,83,60,23,2026-07-31 23:59:59
WH01,P0075,280,37,243,2026-07-31 23:59:59
WH01,P0076,340,34,306,2026-07-31 23:59:59
WH01,P0077,303,12,291,2026-07-31 23:59:59
WH01,P0078,91,39,52,2026-07-31 23:59:59
WH01,P0079,7,7,0,2026-07-31 23:59:59
WH01,P0080,253,50,203,2026-07-31 23:59:59
WH01,P0081,156,34,122,2026-07-31 23:59:59
WH01,P0082,2,2,0,2026-07-31 23:59:59
WH01,P0083,0,0,0,2026-07-31 23:59:59
WH01,P0084,96,21,75,2026-07-31 23:59:59
WH01,P0085,302,10,292,2026-07-31 23:59:59
WH01,P0086,240,62,178,2026-07-31 23:59:59
WH01,P0087,36,6,30,2026-07-31 23:59:59
WH01,P0088,191,64,127,2026-07-31 23:59:59
WH01,P0089,217,26,191,2026-07-31 23:59:59
WH01,P0090,267,59,208,2026-07-31 23:59:59
WH01,P0091,324,11,313,2026-07-31 23:59:59
WH01,P0092,347,51,296,2026-07-31 23:59:59
WH01,P0093,88,19,69,2026-07-31 23:59:59
WH01,P0094,300,74,226,2026-07-31 23:59:59
WH01,P0095,247,50,197,2026-07-31 23:59:59
WH01,P0096,334,73,261,2026-07-31 23:59:59
WH01,P0097,97,62,35,2026-07-31 23:59:59
WH01,P0098,56,46,10,2026-07-31 23:59:59
WH01,P0099,199,20,179,2026-07-31 23:59:59
WH01,P0100,347,37,310,2026-07-31 23:59:59
WH01,P0101,235,40,195,2026-07-31 23:59:59
WH01,P0102,115,73,42,2026-07-31 23:59:59
WH01,P0103,1,0,1,2026-07-31 23:59:59
WH01,P0104,59,19,40,2026-07-31 23:59:59
WH01,P0105,88,54,34,2026-07-31 23:59:59
WH01,P0106,163,43,120,2026-07-31 23:59:59
WH01,P0107,245,78,167,2026-07-31 23:59:59
WH01,P0108,225,51,174,2026-07-31 23:59:59
WH01,P0109,43,22,21,2026-07-31 23:59:59
WH01,P0110,81,62,19,2026-07-31 23:59:59
WH01,P0111,1,0,1,2026-07-31 23:59:59
WH01,P0112,227,56,171,2026-07-31 23:59:59
WH01,P0113,124,70,54,2026-07-31 23:59:59
WH01,P0114,291,62,229,2026-07-31 23:59:59
WH01,P0115,193,51,142,2026-07-31 23:59:59
WH01,P0116,140,56,84,2026-07-31 23:59:59
WH01,P0117,152,56,96,2026-07-31 23:59:59
WH01,P0118,149,39,110,2026-07-31 23:59:59
WH01,P0119,301,36,265,2026-07-31 23:59:59
WH01,P0120,348,49,299,2026-07-31 23:59:59
WH01,P0121,91,76,15,2026-07-31 23:59:59
WH01,P0122,280,13,267,2026-07-31 23:59:59
WH01,P0123,336,67,269,2026-07-31 23:59:59
WH01,P0124,149,31,118,2026-07-31 23:59:59
WH01,P0125,83,10,73,2026-07-31 23:59:59
WH01,P0126,267,8,259,2026-07-31 23:59:59
WH01,P0127,70,44,26,2026-07-31 23:59:59
WH01,P0128,61,52,9,2026-07-31 23:59:59
WH01,P0129,256,73,183,2026-07-31 23:59:59
WH01,P0130,202,16,186,2026-07-31 23:59:59
WH01,P0131,158,5,153,2026-07-31 23:59:59
WH01,P0132,104,62,42,2026-07-31 23:59:59
WH01,P0133,87,23,64,2026-07-31 23:59:59
WH01,P0134,74,44,30,2026-07-31 23:59:59
WH01,P0135,2,1,1,2026-07-31 23:59:59
WH01,P0136,102,19,83,2026-07-31 23:59:59
WH01,P0137,80,29,51,2026-07-31 23:59:59
WH01,P0138,6,2,4,2026-07-31 23:59:59
WH01,P0139,185,12,173,2026-07-31 23:59:59
WH01,P0140,270,8,262,2026-07-31 23:59:59
WH01,P0141,256,7,249,2026-07-31 23:59:59
WH01,P0142,345,20,325,2026-07-31 23:59:59
WH01,P0143,13,12,1,2026-07-31 23:59:59
WH01,P0144,120,4,116,2026-07-31 23:59:59
WH01,P0145,187,76,111,2026-07-31 23:59:59
WH01,P0146,172,49,123,2026-07-31 23:59:59
WH01,P0147,76,61,15,2026-07-31 23:59:59
WH01,P0148,253,28,225,2026-07-31 23:59:59
WH01,P0149,289,45,244,2026-07-31 23:59:59
WH01,P0150,341,80,261,2026-07-31 23:59:59
WH01,P0151,297,25,272,2026-07-31 23:59:59
WH01,P0152,259,65,194,2026-07-31 23:59:59
WH01,P0153,60,54,6,2026-07-31 23:59:59
WH01,P0154,279,19,260,2026-07-31 23:59:59
WH01,P0155,185,70,115,2026-07-31 23:59:59
WH01,P0156,135,59,76,2026-07-31 23:59:59
WH01,P0157,5,1,4,2026-07-31 23:59:59
WH01,P0158,1,1,0,2026-07-31 23:59:59
WH01,P0159,64,48,16,2026-07-31 23:59:59
WH01,P0160,288,62,226,2026-07-31 23:59:59
WH01,P0161,278,68,210,2026-07-31 23:59:59
WH01,P0162,139,66,73,2026-07-31 23:59:59
WH01,P0163,328,39,289,2026-07-31 23:59:59
WH01,P0164,38,0,38,2026-07-31 23:59:59
WH01,P0165,126,7,119,2026-07-31 23:59:59
WH01,P0166,323,42,281,2026-07-31 23:59:59
WH01,P0167,217,27,190,2026-07-31 23:59:59
WH01,P0168,151,47,104,2026-07-31 23:59:59
WH01,P0169,11,3,8,2026-07-31 23:59:59
WH01,P0170,139,49,90,2026-07-31 23:59:59
WH01,P0171,182,10,172,2026-07-31 23:59:59
WH01,P0172,289,48,241,2026-07-31 23:59:59
WH01,P0173,25,18,7,2026-07-31 23:59:59
WH01,P0174,155,39,116,2026-07-31 23:59:59
WH01,P0175,230,47,183,2026-07-31 23:59:59
WH01,P0176,317,71,246,2026-07-31 23:59:59
WH01,P0177,164,36,128,2026-07-31 23:59:59
WH01,P0178,201,50,151,2026-07-31 23:59:59
WH01,P0179,327,7,320,2026-07-31 23:59:59
WH01,P0180,188,75,113,2026-07-31 23:59:59
WH01,P0181,38,38,0,2026-07-31 23:59:59
WH01,P0182,72,17,55,2026-07-31 23:59:59
WH01,P0183,1,1,0,2026-07-31 23:59:59
WH01,P0184,172,44,128,2026-07-31 23:59:59
WH01,P0185,211,63,148,2026-07-31 23:59:59
WH01,P0186,4,3,1,2026-07-31 23:59:59
WH01,P0187,315,50,265,2026-07-31 23:59:59
WH01,P0188,241,6,235,2026-07-31 23:59:59
WH01,P0189,168,55,113,2026-07-31 23:59:59
WH01,P0190,5,2,3,2026-07-31 23:59:59
WH01,P0191,320,53,267,2026-07-31 23:59:59
WH01,P0192,203,39,164,2026-07-31 23:59:59
WH01,P0193,132,13,119,2026-07-31 23:59:59
WH01,P0194,310,78,232,2026-07-31 23:59:59
WH01,P0195,230,68,162,2026-07-31 23:59:59
WH01,P0196,307,10,297,2026-07-31 23:59:59
WH01,P0197,258,43,215,2026-07-31 23:59:59
WH01,P0198,215,20,195,2026-07-31 23:59:59
WH01,P0199,220,74,146,2026-07-31 23:59:59
WH01,P0200,108,31,77,2026-07-31 23:59:59
WH01,P0201,166,67,99,2026-07-31 23:59:59
WH01,P0202,160,6,154,2026-07-31 23:59:59
WH01,P0203,291,18,273,2026-07-31 23:59:59
WH01,P0204,94,36,58,2026-07-31 23:59:59
WH01,P0205,164,5,159,2026-07-31 23:59:59
WH01,P0206,118,3,115,2026-07-31 23:59:59
WH01,P0207,252,74,178,2026-07-31 23:59:59
WH01,P0208,296,10,286,2026-07-31 23:59:59
WH01,P0209,156,32,124,2026-07-31 23:59:59
WH01,P0210,150,7,143,2026-07-31 23:59:59
WH01,P0211,319,26,293,2026-07-31 23:59:59
WH01,P0212,11,4,7,2026-07-31 23:59:59
WH01,P0213,307,60,247,2026-07-31 23:59:59
WH01,P0214,330,16,314,2026-07-31 23:59:59
WH01,P0215,347,29,318,2026-07-31 23:59:59
WH01,P0216,220,26,194,2026-07-31 23:59:59
WH01,P0217,108,52,56,2026-07-31 23:59:59
WH01,P0218,83,8,75,2026-07-31 23:59:59
WH01,P0219,238,0,238,2026-07-31 23:59:59
WH01,P0220,183,64,119,2026-07-31 23:59:59
WH01,P0221,128,57,71,2026-07-31 23:59:59
WH01,P0222,23,3,20,2026-07-31 23:59:59
WH01,P0223,173,63,110,2026-07-31 23:59:59
WH01,P0224,52,2,50,2026-07-31 23:59:59
WH01,P0225,168,42,126,2026-07-31 23:59:59
WH01,P0226,159,13,146,2026-07-31 23:59:59
WH01,P0227,174,78,96,2026-07-31 23:59:59
WH01,P0228,334,45,289,2026-07-31 23:59:59
WH01,P0229,22,12,10,2026-07-31 23:59:59
WH01,P0230,117,56,61,2026-07-31 23:59:59
WH01,P0231,109,47,62,2026-07-31 23:59:59
WH01,P0232,98,34,64,2026-07-31 23:59:59
WH01,P0233,163,49,114,2026-07-31 23:59:59
WH01,P0234,30,22,8,2026-07-31 23:59:59
WH01,P0235,144,57,87,2026-07-31 23:59:59
WH01,P0236,62,24,38,2026-07-31 23:59:59
WH01,P0237,251,38,213,2026-07-31 23:59:59
WH01,P0238,276,21,255,2026-07-31 23:59:59
WH01,P0239,202,55,147,2026-07-31 23:59:59
WH01,P0240,297,36,261,2026-07-31 23:59:59
WH01,P0241,263,39,224,2026-07-31 23:59:59
WH01,P0242,129,26,103,2026-07-31 23:59:59
WH01,P0243,49,1,48,2026-07-31 23:59:59
WH01,P0244,109,74,35,2026-07-31 23:59:59
WH01,P0245,38,8,30,2026-07-31 23:59:59
WH01,P0246,71,50,21,2026-07-31 23:59:59
WH01,P0247,113,51,62,2026-07-31 23:59:59
WH01,P0248,302,61,241,2026-07-31 23:59:59
WH01,P0249,262,32,230,2026-07-31 23:59:59
WH01,P0250,348,36,312,2026-07-31 23:59:59
WH01,P0251,207,10,197,2026-07-31 23:59:59
WH01,P0252,165,55,110,2026-07-31 23:59:59
WH01,P0253,101,8,93,2026-07-31 23:59:59
WH01,P0254,192,75,117,2026-07-31 23:59:59
WH01,P0255,100,64,36,2026-07-31 23:59:59
WH01,P0256,185,24,161,2026-07-31 23:59:59
WH01,P0257,317,15,302,2026-07-31 23:59:59
WH01,P0258,283,41,242,2026-07-31 23:59:59
WH01,P0259,120,40,80,2026-07-31 23:59:59
WH01,P0260,85,60,25,2026-07-31 23:59:59
WH01,P0261,53,46,7,2026-07-31 23:59:59
WH01,P0262,26,8,18,2026-07-31 23:59:59
WH01,P0263,185,59,126,2026-07-31 23:59:59
WH01,P0264,342,60,282,2026-07-31 23:59:59
WH01,P0265,152,6,146,2026-07-31 23:59:59
WH01,P0266,121,32,89,2026-07-31 23:59:59
WH01,P0267,290,67,223,2026-07-31 23:59:59
WH01,P0268,43,36,7,2026-07-31 23:59:59
WH01,P0269,30,12,18,2026-07-31 23:59:59
WH01,P0270,264,19,245,2026-07-31 23:59:59
WH01,P0271,261,33,228,2026-07-31 23:59:59
WH01,P0272,223,70,153,2026-07-31 23:59:59
WH01,P0273,23,17,6,2026-07-31 23:59:59
WH01,P0274,126,46,80,2026-07-31 23:59:59
WH01,P0275,7,5,2,2026-07-31 23:59:59
WH01,P0276,127,23,104,2026-07-31 23:59:59
WH01,P0277,61,0,61,2026-07-31 23:59:59
WH01,P0278,12,6,6,2026-07-31 23:59:59
WH01,P0279,245,21,224,2026-07-31 23:59:59
WH01,P0280,344,0,344,2026-07-31 23:59:59
WH01,P0281,228,34,194,2026-07-31 23:59:59
WH01,P0282,251,50,201,2026-07-31 23:59:59
WH01,P0283,69,45,24,2026-07-31 23:59:59
WH01,P0284,277,2,275,2026-07-31 23:59:59
WH01,P0285,326,15,311,2026-07-31 23:59:59
WH01,P0286,49,37,12,2026-07-31 23:59:59
WH01,P0287,270,23,247,2026-07-31 23:59:59
WH01,P0288,288,13,275,2026-07-31 23:59:59
WH01,P0289,163,15,148,2026-07-31 23:59:59
WH01,P0290,189,16,173,2026-07-31 23:59:59
WH01,P0291,176,57,119,2026-07-31 23:59:59
WH01,P0292,237,1,236,2026-07-31 23:59:59
WH01,P0293,120,74,46,2026-07-31 23:59:59
WH01,P0294,298,79,219,2026-07-31 23:59:59
WH01,P0295,300,1,299,2026-07-31 23:59:59
WH01,P0296,345,2,343,2026-07-31 23:59:59
WH01,P0297,31,26,5,2026-07-31 23:59:59
WH01,P0298,213,7,206,2026-07-31 23:59:59
WH01,P0299,311,10,301,2026-07-31 23:59:59
WH01,P0300,21,11,10,2026-07-31 23:59:59
WH01,P0301,301,45,256,2026-07-31 23:59:59
WH01,P0302,268,63,205,2026-07-31 23:59:59
WH01,P0303,201,72,129,2026-07-31 23:59:59
WH01,P0304,327,69,258,2026-07-31 23:59:59
WH01,P0305,166,80,86,2026-07-31 23:59:59
WH01,P0306,332,30,302,2026-07-31 23:59:59
WH01,P0307,300,20,280,2026-07-31 23:59:59
WH01,P0308,72,52,20,2026-07-31 23:59:59
WH01,P0309,321,38,283,2026-07-31 23:59:59
WH01,P0310,112,34,78,2026-07-31 23:59:59
WH01,P0311,171,80,91,2026-07-31 23:59:59
WH01,P0312,182,52,130,2026-07-31 23:59:59
WH01,P0313,169,23,146,2026-07-31 23:59:59
WH01,P0314,312,25,287,2026-07-31 23:59:59
WH01,P0315,20,19,1,2026-07-31 23:59:59
WH01,P0316,56,2,54,2026-07-31 23:59:59
WH01,P0317,325,3,322,2026-07-31 23:59:59
WH01,P0318,55,36,19,2026-07-31 23:59:59
WH01,P0319,98,6,92,2026-07-31 23:59:59
WH01,P0320,19,7,12,2026-07-31 23:59:59
WH02,P0001,289,40,249,2026-07-31 23:59:59
WH02,P0002,128,6,122,2026-07-31 23:59:59
WH02,P0003,148,7,141,2026-07-31 23:59:59
WH02,P0004,324,29,295,2026-07-31 23:59:59
WH02,P0005,135,53,82,2026-07-31 23:59:59
WH02,P0006,278,77,201,2026-07-31 23:59:59
WH02,P0007,324,1,323,2026-07-31 23:59:59
WH02,P0008,96,52,44,2026-07-31 23:59:59
WH02,P0009,112,37,75,2026-07-31 23:59:59
WH02,P0010,50,16,34,2026-07-31 23:59:59
WH02,P0011,194,8,186,2026-07-31 23:59:59
WH02,P0012,0,0,0,2026-07-31 23:59:59
WH02,P0013,142,55,87,2026-07-31 23:59:59
WH02,P0014,161,39,122,2026-07-31 23:59:59
WH02,P0015,184,71,113,2026-07-31 23:59:59
WH02,P0016,278,16,262,2026-07-31 23:59:59
WH02,P0017,214,79,135,2026-07-31 23:59:59
WH02,P0018,184,46,138,2026-07-31 23:59:59
WH02,P0019,312,78,234,2026-07-31 23:59:59
WH02,P0020,336,45,291,2026-07-31 23:59:59
WH02,P0021,105,17,88,2026-07-31 23:59:59
WH02,P0022,161,42,119,2026-07-31 23:59:59
WH02,P0023,152,20,132,2026-07-31 23:59:59
WH02,P0024,320,69,251,2026-07-31 23:59:59
WH02,P0025,172,58,114,2026-07-31 23:59:59
WH02,P0026,134,48,86,2026-07-31 23:59:59
WH02,P0027,343,58,285,2026-07-31 23:59:59
WH02,P0028,291,27,264,2026-07-31 23:59:59
WH02,P0029,50,3,47,2026-07-31 23:59:59
WH02,P0030,147,24,123,2026-07-31 23:59:59
WH02,P0031,314,15,299,2026-07-31 23:59:59
WH02,P0032,146,26,120,2026-07-31 23:59:59
WH02,P0033,317,51,266,2026-07-31 23:59:59
WH02,P0034,163,41,122,2026-07-31 23:59:59
WH02,P0035,122,7,115,2026-07-31 23:59:59
WH02,P0036,30,30,0,2026-07-31 23:59:59
WH02,P0037,216,75,141,2026-07-31 23:59:59
WH02,P0038,275,58,217,2026-07-31 23:59:59
WH02,P0039,215,80,135,2026-07-31 23:59:59
WH02,P0040,25,13,12,2026-07-31 23:59:59
WH02,P0041,61,17,44,2026-07-31 23:59:59
WH02,P0042,128,60,68,2026-07-31 23:59:59
WH02,P0043,57,9,48,2026-07-31 23:59:59
WH02,P0044,44,10,34,2026-07-31 23:59:59
WH02,P0045,248,54,194,2026-07-31 23:59:59
WH02,P0046,1,0,1,2026-07-31 23:59:59
WH02,P0047,317,74,243,2026-07-31 23:59:59
WH02,P0048,71,59,12,2026-07-31 23:59:59
WH02,P0049,183,66,117,2026-07-31 23:59:59
WH02,P0050,64,25,39,2026-07-31 23:59:59
WH02,P0051,309,54,255,2026-07-31 23:59:59
WH02,P0052,251,67,184,2026-07-31 23:59:59
WH02,P0053,216,6,210,2026-07-31 23:59:59
WH02,P0054,70,47,23,2026-07-31 23:59:59
WH02,P0055,324,55,269,2026-07-31 23:59:59
WH02,P0056,38,31,7,2026-07-31 23:59:59
WH02,P0057,28,27,1,2026-07-31 23:59:59
WH02,P0058,93,61,32,2026-07-31 23:59:59
WH02,P0059,25,14,11,2026-07-31 23:59:59
WH02,P0060,265,4,261,2026-07-31 23:59:59
WH02,P0061,240,56,184,2026-07-31 23:59:59
WH02,P0062,146,43,103,2026-07-31 23:59:59
WH02,P0063,232,4,228,2026-07-31 23:59:59
WH02,P0064,337,79,258,2026-07-31 23:59:59
WH02,P0065,152,67,85,2026-07-31 23:59:59
WH02,P0066,29,11,18,2026-07-31 23:59:59
WH02,P0067,283,32,251,2026-07-31 23:59:59
WH02,P0068,185,7,178,2026-07-31 23:59:59
WH02,P0069,86,3,83,2026-07-31 23:59:59
WH02,P0070,350,53,297,2026-07-31 23:59:59
WH02,P0071,137,4,133,2026-07-31 23:59:59
WH02,P0072,318,34,284,2026-07-31 23:59:59
WH02,P0073,156,54,102,2026-07-31 23:59:59
WH02,P0074,299,14,285,2026-07-31 23:59:59
WH02,P0075,144,66,78,2026-07-31 23:59:59
WH02,P0076,152,12,140,2026-07-31 23:59:59
WH02,P0077,322,54,268,2026-07-31 23:59:59
WH02,P0078,177,9,168,2026-07-31 23:59:59
WH02,P0079,282,55,227,2026-07-31 23:59:59
WH02,P0080,107,62,45,2026-07-31 23:59:59
WH02,P0081,131,20,111,2026-07-31 23:59:59
WH02,P0082,117,12,105,2026-07-31 23:59:59
WH02,P0083,257,20,237,2026-07-31 23:59:59
WH02,P0084,220,23,197,2026-07-31 23:59:59
WH02,P0085,268,71,197,2026-07-31 23:59:59
WH02,P0086,290,7,283,2026-07-31 23:59:59
WH02,P0087,59,47,12,2026-07-31 23:59:59
WH02,P0088,307,4,303,2026-07-31 23:59:59
WH02,P0089,327,40,287,2026-07-31 23:59:59
WH02,P0090,4,2,2,2026-07-31 23:59:59
WH02,P0091,349,77,272,2026-07-31 23:59:59
WH02,P0092,232,40,192,2026-07-31 23:59:59
WH02,P0093,274,38,236,2026-07-31 23:59:59
WH02,P0094,159,37,122,2026-07-31 23:59:59
WH02,P0095,80,54,26,2026-07-31 23:59:59
WH02,P0096,260,71,189,2026-07-31 23:59:59
WH02,P0097,344,77,267,2026-07-31 23:59:59
WH02,P0098,50,23,27,2026-07-31 23:59:59
WH02,P0099,192,25,167,2026-07-31 23:59:59
WH02,P0100,279,28,251,2026-07-31 23:59:59
WH02,P0101,285,45,240,2026-07-31 23:59:59
WH02,P0102,195,6,189,2026-07-31 23:59:59
WH02,P0103,154,30,124,2026-07-31 23:59:59
WH02,P0104,338,24,314,2026-07-31 23:59:59
WH02,P0105,221,73,148,2026-07-31 23:59:59
WH02,P0106,337,50,287,2026-07-31 23:59:59
WH02,P0107,267,0,267,2026-07-31 23:59:59
WH02,P0108,35,22,13,2026-07-31 23:59:59
WH02,P0109,164,8,156,2026-07-31 23:59:59
WH02,P0110,265,50,215,2026-07-31 23:59:59
WH02,P0111,274,30,244,2026-07-31 23:59:59
WH02,P0112,257,51,206,2026-07-31 23:59:59
WH02,P0113,141,7,134,2026-07-31 23:59:59
WH02,P0114,329,43,286,2026-07-31 23:59:59
WH02,P0115,133,2,131,2026-07-31 23:59:59
WH02,P0116,70,28,42,2026-07-31 23:59:59
WH02,P0117,76,74,2,2026-07-31 23:59:59
WH02,P0118,12,2,10,2026-07-31 23:59:59
WH02,P0119,258,5,253,2026-07-31 23:59:59
WH02,P0120,5,1,4,2026-07-31 23:59:59
WH02,P0121,123,41,82,2026-07-31 23:59:59
WH02,P0122,237,7,230,2026-07-31 23:59:59
WH02,P0123,88,5,83,2026-07-31 23:59:59
WH02,P0124,70,44,26,2026-07-31 23:59:59
WH02,P0125,298,17,281,2026-07-31 23:59:59
WH02,P0126,6,2,4,2026-07-31 23:59:59
WH02,P0127,41,0,41,2026-07-31 23:59:59
WH02,P0128,255,48,207,2026-07-31 23:59:59
WH02,P0129,51,25,26,2026-07-31 23:59:59
WH02,P0130,40,16,24,2026-07-31 23:59:59
WH02,P0131,322,39,283,2026-07-31 23:59:59
WH02,P0132,257,47,210,2026-07-31 23:59:59
WH02,P0133,295,33,262,2026-07-31 23:59:59
WH02,P0134,34,14,20,2026-07-31 23:59:59
WH02,P0135,287,25,262,2026-07-31 23:59:59
WH02,P0136,92,6,86,2026-07-31 23:59:59
WH02,P0137,284,62,222,2026-07-31 23:59:59
WH02,P0138,339,72,267,2026-07-31 23:59:59
WH02,P0139,212,33,179,2026-07-31 23:59:59
WH02,P0140,123,5,118,2026-07-31 23:59:59
WH02,P0141,230,60,170,2026-07-31 23:59:59
WH02,P0142,295,21,274,2026-07-31 23:59:59
WH02,P0143,114,63,51,2026-07-31 23:59:59
WH02,P0144,17,0,17,2026-07-31 23:59:59
WH02,P0145,289,73,216,2026-07-31 23:59:59
WH02,P0146,30,27,3,2026-07-31 23:59:59
WH02,P0147,227,13,214,2026-07-31 23:59:59
WH02,P0148,189,66,123,2026-07-31 23:59:59
WH02,P0149,229,64,165,2026-07-31 23:59:59
WH02,P0150,169,73,96,2026-07-31 23:59:59
WH02,P0151,142,55,87,2026-07-31 23:59:59
WH02,P0152,50,19,31,2026-07-31 23:59:59
WH02,P0153,82,17,65,2026-07-31 23:59:59
WH02,P0154,78,54,24,2026-07-31 23:59:59
WH02,P0155,90,36,54,2026-07-31 23:59:59
WH02,P0156,96,2,94,2026-07-31 23:59:59
WH02,P0157,333,6,327,2026-07-31 23:59:59
WH02,P0158,175,54,121,2026-07-31 23:59:59
WH02,P0159,4,0,4,2026-07-31 23:59:59
WH02,P0160,106,42,64,2026-07-31 23:59:59
WH02,P0161,156,2,154,2026-07-31 23:59:59
WH02,P0162,322,47,275,2026-07-31 23:59:59
WH02,P0163,326,66,260,2026-07-31 23:59:59
WH02,P0164,35,23,12,2026-07-31 23:59:59
WH02,P0165,270,55,215,2026-07-31 23:59:59
WH02,P0166,264,3,261,2026-07-31 23:59:59
WH02,P0167,275,66,209,2026-07-31 23:59:59
WH02,P0168,118,10,108,2026-07-31 23:59:59
WH02,P0169,281,60,221,2026-07-31 23:59:59
WH02,P0170,8,3,5,2026-07-31 23:59:59
WH02,P0171,340,35,305,2026-07-31 23:59:59
WH02,P0172,202,65,137,2026-07-31 23:59:59
WH02,P0173,314,32,282,2026-07-31 23:59:59
WH02,P0174,298,59,239,2026-07-31 23:59:59
WH02,P0175,179,69,110,2026-07-31 23:59:59
WH02,P0176,330,46,284,2026-07-31 23:59:59
WH02,P0177,208,66,142,2026-07-31 23:59:59
WH02,P0178,186,17,169,2026-07-31 23:59:59
WH02,P0179,215,50,165,2026-07-31 23:59:59
WH02,P0180,197,20,177,2026-07-31 23:59:59
WH02,P0181,57,41,16,2026-07-31 23:59:59
WH02,P0182,259,22,237,2026-07-31 23:59:59
WH02,P0183,189,52,137,2026-07-31 23:59:59
WH02,P0184,4,1,3,2026-07-31 23:59:59
WH02,P0185,54,2,52,2026-07-31 23:59:59
WH02,P0186,305,37,268,2026-07-31 23:59:59
WH02,P0187,270,68,202,2026-07-31 23:59:59
WH02,P0188,338,51,287,2026-07-31 23:59:59
WH02,P0189,75,28,47,2026-07-31 23:59:59
WH02,P0190,345,63,282,2026-07-31 23:59:59
WH02,P0191,131,5,126,2026-07-31 23:59:59
WH02,P0192,291,40,251,2026-07-31 23:59:59
WH02,P0193,23,20,3,2026-07-31 23:59:59
WH02,P0194,198,73,125,2026-07-31 23:59:59
WH02,P0195,2,1,1,2026-07-31 23:59:59
